dataset,method,parameters,updates,iterations,mean_seconds,std_seconds,error,workload
MNIST,antiflipper,21840,20,5,0.0029313199993339367,0.0003907761981099812,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,fedavg,21840,20,5,0.0026018599994131362,5.273616408323823e-05,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,median,21840,20,5,0.00587691999899107,0.0009275521430740713,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,trimmed_mean,21840,20,5,0.010018639999179868,0.0013711547959833065,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,foolsgold,21840,20,5,0.01153721999944537,0.002454520684427621,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,tolpegin,21840,20,5,0.23982445999936317,0.005673806413715781,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,multi_krum,21840,20,5,0.02244373999928939,0.006021557920199778,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,flame,21840,20,5,0.027780879999045282,0.003993571911689884,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,lfighter,21840,20,5,0.03031422000058228,0.0012121850853283511,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,fltrust,21840,20,5,0.01778361999968183,0.0029320686320869105,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,antiflipper,21840,50,5,0.006349159997625975,0.00143802251582587,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,fedavg,21840,50,5,0.007445320000260836,0.00039219408660771515,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,median,21840,50,5,0.013146019999112468,0.001032506739199467,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,trimmed_mean,21840,50,5,0.05114915999947698,0.003124598021374,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,foolsgold,21840,50,5,0.029603939998924033,0.0049157946848346025,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,tolpegin,21840,50,5,0.26126966000083485,0.009886023361194226,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,multi_krum,21840,50,5,0.030025659999955677,0.007204631868809646,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,flame,21840,50,5,0.05961413999975775,0.005759822149532784,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,lfighter,21840,50,5,0.03724713999981759,0.004208042666628245,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,fltrust,21840,50,5,0.028737760000512935,0.007274288835973424,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,antiflipper,21840,100,5,0.011855280000600033,0.001811926061512822,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,fedavg,21840,100,5,0.01264468000154011,0.0017568871529938372,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,median,21840,100,5,0.02732895999943139,0.0011746523956785468,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,trimmed_mean,21840,100,5,0.11105960000058986,0.006717351059087743,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,foolsgold,21840,100,5,0.07837606000030065,0.03368343823834582,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,tolpegin,21840,100,5,0.27851486000145087,0.004630833643819542,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,multi_krum,21840,100,5,0.04959802000084892,0.005896488688311785,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,flame,21840,100,5,0.17483181999996306,0.08426044923015329,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,lfighter,21840,100,5,0.05157933999871602,0.002123279070474542,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
MNIST,fltrust,21840,100,5,0.04979316000099061,0.008640624380555502,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,antiflipper,11191262,20,5,0.1237855600011244,0.003953298099186998,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,fedavg,11191262,20,5,0.12852665999889723,0.005633826140688544,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,median,11191262,20,5,2.8021044599998275,0.026589587640816533,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,trimmed_mean,11191262,20,5,6.782962820000103,0.02775190461642494,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,foolsgold,11191262,20,5,2.3390490199999476,0.07585653245530333,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,tolpegin,11191262,20,5,0.4343840999987151,0.01857716336031639,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,multi_krum,11191262,20,5,5.6498494200008285,0.17964422808486086,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,flame,11191262,20,5,3.1623383400008604,0.05157007883305704,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,lfighter,11191262,20,5,0.1865388600002916,0.008113337229688312,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
CIFAR10,fltrust,11191262,20,5,1.097476099999767,0.1791991079662882,,identical deterministic synthetic model states on CPU; malicious_fraction=0.4
