index,job_id,experiment,dataset,distribution,method,seed,status
1,a1_headline__mnist__iid__antiflipper__s7__4bc51d584b59,A1_headline,MNIST,IID,antiflipper,7,completed
2,a1_headline__mnist__iid__antiflipper__s19__59b9f4b171d7,A1_headline,MNIST,IID,antiflipper,19,completed
3,a1_headline__mnist__iid__antiflipper__s31__1fe5433c6092,A1_headline,MNIST,IID,antiflipper,31,completed
4,a1_headline__mnist__iid__fedavg__s7__632dc8976de7,A1_headline,MNIST,IID,fedavg,7,completed
5,a1_headline__mnist__iid__fedavg__s19__7bc548c7e8c7,A1_headline,MNIST,IID,fedavg,19,completed
6,a1_headline__mnist__iid__fedavg__s31__56d6dbfd6a89,A1_headline,MNIST,IID,fedavg,31,completed
7,a1_headline__mnist__iid__median__s7__fd1bb4d9c746,A1_headline,MNIST,IID,median,7,pending
8,a1_headline__mnist__iid__median__s19__0ac26f61b6ee,A1_headline,MNIST,IID,median,19,pending
9,a1_headline__mnist__iid__median__s31__dbf5c98f5d3a,A1_headline,MNIST,IID,median,31,pending
10,a1_headline__mnist__iid__trimmed_mean__s7__95b2e6f6be92,A1_headline,MNIST,IID,trimmed_mean,7,pending
11,a1_headline__mnist__iid__trimmed_mean__s19__f3f91ea17c15,A1_headline,MNIST,IID,trimmed_mean,19,pending
12,a1_headline__mnist__iid__trimmed_mean__s31__25101f5612c9,A1_headline,MNIST,IID,trimmed_mean,31,pending
13,a1_headline__mnist__iid__foolsgold__s7__d6e4783a58bb,A1_headline,MNIST,IID,foolsgold,7,pending
14,a1_headline__mnist__iid__foolsgold__s19__bd010dd7ed57,A1_headline,MNIST,IID,foolsgold,19,pending
15,a1_headline__mnist__iid__foolsgold__s31__863d8b62e04f,A1_headline,MNIST,IID,foolsgold,31,pending
16,a1_headline__mnist__iid__tolpegin__s7__af0f76c14de6,A1_headline,MNIST,IID,tolpegin,7,pending
17,a1_headline__mnist__iid__tolpegin__s19__414f864240f9,A1_headline,MNIST,IID,tolpegin,19,pending
18,a1_headline__mnist__iid__tolpegin__s31__0e0f970691a6,A1_headline,MNIST,IID,tolpegin,31,pending
19,a1_headline__mnist__iid__multi_krum__s7__a9782b48f047,A1_headline,MNIST,IID,multi_krum,7,pending
20,a1_headline__mnist__iid__multi_krum__s19__eeedf5698174,A1_headline,MNIST,IID,multi_krum,19,pending
21,a1_headline__mnist__iid__multi_krum__s31__9ab63e2bda9b,A1_headline,MNIST,IID,multi_krum,31,pending
22,a1_headline__mnist__iid__flame__s7__b8ccb544eb04,A1_headline,MNIST,IID,flame,7,pending
23,a1_headline__mnist__iid__flame__s19__7e34a2a6fb77,A1_headline,MNIST,IID,flame,19,pending
24,a1_headline__mnist__iid__flame__s31__a9f9e1090b4a,A1_headline,MNIST,IID,flame,31,pending
25,a1_headline__mnist__iid__lfighter__s7__4579de28e277,A1_headline,MNIST,IID,lfighter,7,pending
