round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
0,2.175479699707031,0.4393,0.0857,0.42678987339651053,0.008968609865470852,2.242419537981351,100,100,0,40,23960,0.025982399998611072,129.75839710000218,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
1,1.4551039611816405,0.7543,0.0196,0.7501898965071081,0.38391038696537677,2.016353842417399,100,100,0,40,23960,0.01854789999924833,122.47630110000318,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
2,0.6309171722412109,0.8541,0.0123,0.8515419345300765,0.702258726899384,1.6319068726698558,100,100,0,40,23960,0.01516279999850667,109.95613279999816,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
3,0.4390845260620117,0.8921,0.0103,0.8904842802011622,0.7525667351129364,1.5489318334360918,100,100,0,40,23960,0.01956160000190721,106.0615171999998,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
4,0.34002478561401367,0.917,0.0082,0.9160522987638965,0.8203285420944558,1.481301467269659,100,100,0,40,23960,0.014347099997394253,103.4598659000003,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
5,0.27960518646240234,0.9277,0.0074,0.9270505559076481,0.8449691991786448,1.4438157307058574,100,100,0,40,23960,0.02597270000114804,108.46321709999756,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
6,0.23892371063232423,0.9356,0.0073,0.9350852674340644,0.8747433264887063,1.4102995219677683,100,100,0,40,23960,0.015180000002146699,104.45585900000151,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
7,0.20868599014282227,0.9422,0.0066,0.9418531463695945,0.8860369609856262,1.3958763714184363,100,60,40,40,23960,0.009957099999155616,106.36552980000124,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
8,0.18953954315185548,0.9451,0.0066,0.9447611670024021,0.8809034907597536,0.4731824636376566,60,60,40,0,0,0.007695099997363286,63.141971699998976,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
9,0.17469652290344237,0.9484,0.0057,0.9480707352524721,0.8921971252566735,0.44098450462437344,60,60,40,0,0,0.022144500002468703,65.21041460000197,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
10,0.16186594657897949,0.9517,0.0056,0.951381827265163,0.8983572895277208,0.4166526891208358,60,60,40,0,0,0.012400699997670017,68.71276010000292,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
11,0.15459577598571778,0.9536,0.0053,0.953365167126984,0.8973305954825462,0.39323766900847357,60,60,40,0,0,0.009324300001026131,66.52734309999869,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
12,0.14515675811767578,0.9555,0.0054,0.9552873637128465,0.9055441478439425,0.3731001031233205,60,60,40,0,0,0.01683469999989029,64.66798020000351,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
13,0.13899236488342284,0.9577,0.0052,0.9574600458614743,0.9096509240246407,0.36196049614912934,60,60,40,0,0,0.007052900000417139,68.67728239999997,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
14,0.13191506328582764,0.9603,0.0049,0.9601606350328293,0.9168377823408624,0.34377854240023425,60,60,40,0,0,0.010273899999447167,65.0893161999993,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
15,0.1294594715118408,0.9605,0.0049,0.9603488111379258,0.9137577002053389,0.33336324015632274,60,60,40,0,0,0.006597100000362843,64.43021940000108,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
16,0.12375963420867919,0.9619,0.0047,0.9618242911910295,0.919917864476386,0.32135813449198997,60,60,40,0,0,0.01733790000071167,64.45657500000016,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
17,0.11961745948791504,0.9631,0.0043,0.9629618857093497,0.9229979466119097,0.31361404273658994,60,60,40,0,0,0.013187000000471016,60.0030569999999,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
18,0.11736689109802247,0.9634,0.0043,0.9632729119404564,0.9240246406570842,0.3083922840903202,60,60,40,0,0,0.009824799999478273,60.53305249999994,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
19,0.11367414054870606,0.9648,0.0039,0.964690878537868,0.9240246406570842,0.2986240275887152,60,60,40,0,0,0.008895000000848086,62.47712689999935,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
20,0.11053282241821288,0.9655,0.0039,0.9653895287026826,0.9281314168377823,0.29220456793697347,60,60,40,0,0,0.008124099998894962,59.27371029999995,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
21,0.10770571441650391,0.9656,0.0034,0.9655425086341218,0.9322381930184805,0.2840210975230569,60,60,40,0,0,0.007905899999968824,59.74424159999944,0.016666666666666663,40,0,0,60,1.0,1.0,1.0,0.0,7.0
22,0.10551603679656982,0.9661,0.0035,0.9660003171113465,0.9301848049281314,0.27608606660117707,60,60,40,0,0,0.005447300000014366,59.497043599998506,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
23,0.10427843475341797,0.9675,0.0031,0.9674208271434637,0.9342915811088296,0.269552868946145,60,60,40,0,0,0.005427100000815699,59.705000899999504,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
24,0.10177614727020264,0.9674,0.0032,0.967316699833531,0.9353182751540041,0.2655627717077732,60,60,40,0,0,0.008569300000090152,59.05173739999918,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
25,0.09982499017715454,0.9681,0.0029,0.9680208305230702,0.9383983572895277,0.26088365764874555,60,60,40,0,0,0.01093600000058359,59.412208499999906,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
26,0.09791779193878174,0.969,0.0027,0.968907294337931,0.9394250513347022,0.25276803225692773,60,60,40,0,0,0.0093949000001885,59.45741970000017,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
27,0.09586811761856079,0.9695,0.0027,0.9694495101112588,0.9435318275154004,0.25003150633588017,60,60,40,0,0,0.008698599998751888,59.28802750000068,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
28,0.0935487268447876,0.9708,0.0026,0.9707153058039737,0.9435318275154004,0.24307856463102828,60,60,40,0,0,0.007172199999331497,59.432936600000176,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
29,0.09315337104797364,0.9707,0.0027,0.9706350771227281,0.9455852156057495,0.23580395831829973,60,60,40,0,0,0.00563010000041686,59.59120660000008,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
30,0.09221904840469361,0.971,0.0025,0.9709438221634036,0.9414784394250514,0.23652135171824035,60,60,40,0,0,0.009703300000182935,59.699169400000756,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
31,0.08940117721557617,0.9714,0.0026,0.9713132657327164,0.9455852156057495,0.2346834969561961,60,60,40,0,0,0.009306899999501184,59.83864030000041,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
32,0.08893128509521485,0.9715,0.0024,0.9714599929342012,0.9455852156057495,0.2263196060278764,60,60,40,0,0,0.006983700001001125,60.03874129999895,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
33,0.08778866052627564,0.9719,0.0023,0.9718082474626761,0.9476386036960985,0.23120179354937542,60,60,40,0,0,0.008630099999209051,60.01063690000046,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
34,0.08643947715759277,0.9725,0.0023,0.9724136331576787,0.946611909650924,0.2249720498712526,60,60,40,0,0,0.007986299999174662,59.84180210000159,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
35,0.08612518634796143,0.9726,0.0024,0.9725566136238466,0.9476386036960985,0.22593710590878294,60,60,40,0,0,0.00928129999920202,59.7689277999998,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
36,0.08472225437164306,0.9725,0.0023,0.9723959753810346,0.946611909650924,0.21899328008397584,60,60,40,0,0,0.007773600000291481,59.94500289999996,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
37,0.08270997753143311,0.9731,0.0023,0.9729699746312047,0.9496919917864476,0.21735344092827288,60,60,40,0,0,0.0064366000005975366,59.37663590000011,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
38,0.08201927318572998,0.973,0.0021,0.9728668336677119,0.9496919917864476,0.2129088298795331,60,60,40,0,0,0.007775300000503194,59.823604799999885,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
39,0.08175963468551636,0.9735,0.0023,0.9733565342299526,0.9496919917864476,0.2130131133645773,60,60,40,0,0,0.00661720000061905,59.5690168000001,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
40,0.07982821226119995,0.9737,0.0021,0.9735851320878067,0.9527720739219713,0.20740264311691542,60,60,40,0,0,0.005573300000833115,59.24271480000061,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
41,0.07980562009811401,0.973,0.0022,0.9729199767648954,0.9507186858316222,0.20834372236652093,60,60,40,0,0,0.006297300000369432,59.59428150000167,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
42,0.07804289817810059,0.974,0.0021,0.973882814640511,0.9507186858316222,0.20748569168150427,60,60,40,0,0,0.009710200001791236,59.615667199999734,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
43,0.07923717374801635,0.9736,0.0022,0.9735307228470725,0.9507186858316222,0.205283687269936,60,60,40,0,0,0.005394200001319405,59.61200269999972,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
44,0.07708648624420165,0.9744,0.0023,0.974283444267491,0.9496919917864476,0.20136967545582182,60,60,40,0,0,0.006147199999759323,59.338551599999846,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
45,0.07613369226455688,0.9749,0.002,0.9748256221557696,0.9558521560574949,0.19815360789445957,60,60,40,0,0,0.00901499999963562,59.51084830000036,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
