round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
0,2.2201416015625,0.387,0.1034,0.3730772054822666,0.007847533632286996,2.259930806517601,100,100,0,40,23960,0.008161400000972208,74.2738946999998,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
1,1.7033251617431642,0.6708,0.0428,0.6625382929549682,0.19226957383548068,2.0985278966824215,100,100,0,40,23960,0.007919399999082088,76.7454914000009,0.01,0,0,40,60,1.0,0.0,0.0,0.0,
2,0.6999899398803711,0.8454,0.0123,0.8423613443189442,0.6786447638603696,1.6754428835709891,100,100,0,40,23960,0.010228499999357155,80.89690609999889,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
3,0.45157602081298825,0.8955,0.0111,0.893864599615888,0.8039014373716632,1.5837718077301977,100,100,0,40,23960,0.008106400000542635,79.99678950000089,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
4,0.3574438667297363,0.9132,0.01,0.9120941966932039,0.8347022587268994,1.5064308263063433,100,100,0,40,23960,0.012646099999983562,79.80390439999974,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
5,0.29404454193115237,0.925,0.0087,0.9241630704273112,0.8583162217659137,1.457103075792392,100,100,0,40,23960,0.007861699999921257,83.94352399999843,0.010000000000000002,0,0,40,60,1.0,0.0,0.0,0.0,
6,0.25243765182495115,0.9319,0.0076,0.9310963926884902,0.8747433264887063,1.4362665910621484,100,100,0,40,23960,0.00825529999929131,85.39183599999888,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
7,0.2210174602508545,0.937,0.0069,0.9363175088260881,0.8839835728952772,1.419395852098862,100,60,40,40,23960,0.006552299997565569,69.90841879999789,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
8,0.20131399040222167,0.9433,0.0062,0.9429982975527549,0.8901437371663244,0.5129867116279072,60,60,40,0,0,0.006122400001913775,52.40318219999972,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
9,0.18393485679626465,0.9468,0.0061,0.9465251353504394,0.9014373716632443,0.47990258356763255,60,60,40,0,0,0.00746390000131214,52.5230965999981,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
10,0.16883381881713866,0.9498,0.0058,0.9495410284687689,0.9055441478439425,0.4624723782680101,60,60,40,0,0,0.005417600001237588,40.35970109999835,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
11,0.16006615829467774,0.9529,0.0054,0.9525904282758312,0.9086242299794661,0.4309114048961136,60,60,40,0,0,0.004612799999449635,50.09721999999965,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
12,0.14968335189819337,0.9548,0.0051,0.9545359846201892,0.9096509240246407,0.40520936706413824,60,60,40,0,0,0.004261199999746168,52.681147399998736,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
13,0.1416635709762573,0.9569,0.0047,0.9566691072206813,0.9168377823408624,0.3930532802061902,60,60,40,0,0,0.005914500001381384,40.88065180000194,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
14,0.1349898546218872,0.9594,0.0045,0.9591994467224392,0.919917864476386,0.38001259593913955,60,60,40,0,0,0.005255400003079558,50.8160867000006,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
15,0.1306961811065674,0.961,0.004,0.9608663241298169,0.9219712525667351,0.36971798090678115,60,60,40,0,0,0.006552500002726447,52.917362899999716,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
16,0.12517768840789795,0.9618,0.0037,0.9616646438012058,0.9240246406570842,0.3509880944734647,60,60,40,0,0,0.00544140000056359,41.21557849999954,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
17,0.12050938911437989,0.963,0.0037,0.9628747555340536,0.9281314168377823,0.34129742463222806,60,60,40,0,0,0.008014800001546973,51.11401079999996,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
18,0.11663641605377197,0.965,0.0034,0.9648620762991632,0.9291581108829569,0.3298564814983143,60,60,40,0,0,0.006308100000751438,53.105398499999865,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
19,0.1122020676612854,0.9657,0.0033,0.9655931903007356,0.9322381930184805,0.32288204851456814,60,60,40,0,0,0.007511799998610513,41.53392259999964,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
20,0.10932676982879638,0.9664,0.0032,0.9663221754119746,0.9312114989733059,0.31178599320972966,60,60,40,0,0,0.005178300001716707,51.33677469999748,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
21,0.10667501230239868,0.9672,0.0031,0.9671126750448659,0.9404517453798767,0.30934545372923217,60,60,40,0,0,0.005223899999691639,53.200597999999445,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
22,0.10295359153747559,0.9683,0.0029,0.9681894135790129,0.9363449691991786,0.30163861005670495,60,60,40,0,0,0.0045365000005404,41.59493349999684,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
23,0.10129836206436157,0.969,0.0027,0.9689612719822313,0.944558521560575,0.2965517079312769,60,60,40,0,0,0.005345199999283068,51.437452099999064,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
24,0.09870572700500488,0.9701,0.0027,0.9700354444066237,0.946611909650924,0.284835434048954,60,60,40,0,0,0.005305200000293553,53.40014879999944,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
25,0.09688007860183716,0.9706,0.0027,0.9705500760928139,0.9455852156057495,0.28193513346732496,60,60,40,0,0,0.006432199999835575,53.39161570000215,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
26,0.09395055618286133,0.9711,0.0025,0.9710440508230789,0.9496919917864476,0.27527390910416016,60,60,40,0,0,0.00640430000203196,41.35616339999979,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
27,0.09247416038513184,0.9714,0.0025,0.9713445051794934,0.9507186858316222,0.26888813490668934,60,60,40,0,0,0.005349200000637211,51.61775929999931,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
28,0.09148090658187866,0.9716,0.0023,0.9715443846410052,0.9476386036960985,0.26486982748119364,60,60,40,0,0,0.0053287000009731855,53.46502320000218,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
29,0.0897675539970398,0.9726,0.0023,0.9725348206152254,0.9527720739219713,0.26391982626790805,60,60,40,0,0,0.005162500001461012,53.04785900000206,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
30,0.08836073532104492,0.9722,0.0023,0.9721342772879493,0.9496919917864476,0.2551902913788541,60,60,40,0,0,0.006642500000452856,41.47808840000289,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
31,0.08730796337127686,0.9733,0.002,0.9732557305400457,0.9517453798767967,0.24925285937575004,60,60,40,0,0,0.006439100001443876,51.47057649999988,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
32,0.08548170976638794,0.9736,0.0019,0.9735573872767722,0.9548254620123203,0.24678102528986828,60,60,40,0,0,0.009687300000223331,53.37687519999963,0.016666666666666663,40,0,0,60,1.0,1.0,1.0,0.0,7.0
33,0.08276103687286376,0.9748,0.0018,0.9747960681417606,0.958171206225681,0.24559158148037064,60,60,40,0,0,0.0051824000001943205,53.162112300000445,0.01666666666666667,40,0,0,60,1.0,1.0,1.0,0.0,7.0
34,0.08243180990219116,0.9749,0.0019,0.9748239048553259,0.9568788501026694,0.23969565608228247,60,60,40,0,0,0.006073000000469619,52.94844000000012,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
35,0.0813909351348877,0.9756,0.0017,0.97555527311021,0.9601167315175098,0.2379588752488295,60,60,40,0,0,0.006857299998955568,52.72116710000046,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
36,0.0803121910572052,0.9753,0.0018,0.975286855883972,0.9601167315175098,0.23160778654532302,60,60,40,0,0,0.0052957999978389125,52.690043599999626,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
37,0.0790166277885437,0.9758,0.0017,0.9757651023538653,0.9620123203285421,0.23246877675669056,60,60,40,0,0,0.006327499999315478,52.696086200001446,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
38,0.07762412109375,0.9762,0.0016,0.9761657177559627,0.9613478691774033,0.22314425138588473,60,60,40,0,0,0.006760399999620859,41.06731579999905,0.016666666666666666,40,0,0,60,1.0,1.0,1.0,0.0,7.0
