round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
0,2.242921301269531,0.2635,0.1521,0.25991674224021877,0.0,2.271161098003388,100,100,0,40,23960,0.010923599998932332,90.79912509999849,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
1,1.9493250183105468,0.5623,0.0703,0.555710623664936,0.010089686098654708,2.1581166089375814,100,100,0,40,23960,0.013159800000721589,89.8564297999983,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
2,1.3119173400878905,0.7766,0.0349,0.7723363483791446,0.39798206278026904,1.7732155687411626,100,100,0,40,23960,0.012073999998392537,90.5120934000006,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
3,1.3275437652587891,0.7317,0.0824,0.7298927348828652,0.4742152466367713,1.3972997621695202,100,100,0,40,23960,0.008387000001675915,89.78667119999591,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
4,1.0698941040039063,0.8265,0.0339,0.8239041780878462,0.6659192825112108,1.2073926130235195,100,100,0,40,23960,0.008566100004827604,76.6022879000011,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
5,1.1597779968261719,0.7578,0.1108,0.7586558048640792,0.5797819623389494,1.0848328502476217,100,100,0,40,23960,0.009380600000440609,90.97174749999976,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
6,0.8650958862304687,0.8711,0.0267,0.8697533658291148,0.7631318136769079,0.995484556734562,100,100,0,40,23960,0.009589799999957904,90.23890739999479,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
7,1.1194900512695312,0.6154,0.2756,0.6203987949122711,0.3012884043607532,0.9232557820777099,100,100,0,40,23960,0.015162100004090462,89.89722579999943,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
8,0.6942355682373047,0.896,0.0246,0.8952787381880457,0.7958374628344896,0.87499021025002,100,100,0,40,23960,0.008920100000977982,105.43551540000044,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
9,1.1451118713378907,0.4346,0.4757,0.4424384510592124,0.03404669260700389,0.8262632895112035,100,100,0,40,23960,0.012240700001711957,89.4836828999978,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
