round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
0,2.1760474670410157,0.4387,0.0865,0.4262191033087661,0.008968609865470852,2.242419537981351,100,100,0,40,23960,0.01294229999621166,93.28579319999699,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
1,1.6962974609375,0.6491,0.0685,0.6479198242271778,0.14867617107942974,2.0163884543180464,100,100,0,40,23960,0.014602299997932278,93.0798775000003,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
2,1.3239213500976563,0.7329,0.0387,0.7339093281176685,0.5061099796334012,1.5992775590419768,100,100,0,40,23960,0.014389600000868086,92.86819939999987,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
3,1.1807074096679688,0.8083,0.0358,0.8071373138682525,0.5975359342915811,1.2985618344942729,100,100,0,40,23960,0.00969959999929415,93.07362629999989,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
4,1.076568670654297,0.8201,0.0504,0.8183683266642422,0.6416837782340863,1.1238265472749869,100,100,0,40,23960,0.013787600000796374,93.54152280000562,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
5,1.0073251831054688,0.8233,0.0713,0.8210054330302532,0.648870636550308,1.007818686187267,100,100,0,40,23960,0.009099499999138061,92.77522360000148,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
6,0.8702019104003906,0.8677,0.0426,0.8659332323504545,0.6981519507186859,0.9249726009915271,100,100,0,40,23960,0.009542399995552842,92.62373079999816,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
7,0.8746793365478516,0.8327,0.0868,0.8303710916595172,0.7114989733059548,0.8572339267482362,100,100,0,40,23960,0.012769699998898432,93.01568309999857,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
8,0.7258621246337891,0.8915,0.0355,0.8898462800825756,0.7433264887063655,0.8030126852194468,100,100,0,40,23960,0.013688499995623715,94.15276089999679,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
9,0.8081409912109375,0.8104,0.1198,0.8096656757742305,0.6326530612244898,0.7540364319930474,100,100,0,40,23960,0.013302500003192108,81.41634190000332,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
10,0.6148897827148437,0.9086,0.0317,0.9069061533285492,0.7638603696098563,0.716511167317629,100,100,0,40,23960,0.00878970000485424,94.32645909999701,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
