round,loss,accuracy,asr,macro_class_accuracy,worst_class_accuracy,local_loss,selected_clients,aggregated_clients,excluded_clients,attacked_client_rounds,poisoned_examples,aggregation_seconds,round_seconds,mean_method_weight,tp,fp,fn,tn,precision,recall,f1,fpr,mean_detection_round
0,2.2202711853027344,0.3864,0.1036,0.37248517689578725,0.007847533632286996,2.259930806517601,100,100,0,40,23960,0.013023499999690102,95.43327440000212,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
1,1.815222589111328,0.6076,0.073,0.5978924033839366,0.09117938553022795,2.0985309590498606,100,100,0,40,23960,0.013871899998775916,94.70930360000057,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
2,1.267678564453125,0.7184,0.0494,0.7107572570984242,0.3901345291479821,1.6673345318436623,100,100,0,40,23960,0.015566400001262082,94.71730110000135,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
3,1.1015727355957032,0.8006,0.0437,0.7955276214389722,0.4966367713004484,1.3230204762021702,100,100,0,40,23960,0.014039999998203712,94.63983019999796,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
4,1.0124390899658202,0.8332,0.0459,0.8304148879326314,0.67152466367713,1.1448111128111682,100,100,0,40,23960,0.012217899999086512,94.91921469999943,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
5,0.9396927673339843,0.8449,0.0558,0.8432943057905782,0.6564356435643565,1.0302049540778002,100,100,0,40,23960,0.012352900001133094,94.40388130000065,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
6,0.8755755401611328,0.842,0.0704,0.8410495912683926,0.6594059405940594,0.9416043547590575,100,100,0,40,23960,0.009143800001766067,94.52651160000096,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
7,0.8271194763183594,0.8403,0.0844,0.839038753783424,0.6808721506442021,0.871900606393814,100,100,0,40,23960,0.015561600001092302,94.94097669999974,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
8,0.771470571899414,0.8559,0.0746,0.8547233040732489,0.7036669970267592,0.8159786817481121,100,100,0,40,23960,0.009210600001097191,94.55113859999983,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
9,0.7546404083251953,0.8346,0.1021,0.8337579167946092,0.6095143706640238,0.7678962815999985,100,100,0,40,23960,0.011195999999472406,94.40446359999987,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
10,0.6768747970581055,0.874,0.0701,0.8726867558793417,0.6798810703666998,0.7303378160397211,100,100,0,40,23960,0.00925219999771798,94.25139200000194,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
11,0.7745702270507813,0.764,0.1806,0.7635572069853785,0.26556420233463035,0.6981273179401956,100,100,0,40,23960,0.009240899998985697,94.6311087000031,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
12,0.5733901779174805,0.9129,0.0367,0.9118072188884007,0.8116947472745293,0.6622926657150188,100,100,0,40,23960,0.008736699997825781,96.3264319000009,0.009999999999999998,0,0,40,60,1.0,0.0,0.0,0.0,
