trust[0] =  {0: 0.05000012922686083, 1: 0.049998453562492676, 2: 0.050005397284708694, 3: 0.049998453562492676, 4: 0.04999963458622713, 5: 0.04999876549401058, 6: 0.049999368490272464, 7: 0.050000162756377906, 8: 0.05000079678527794, 9: 0.050000072075085576, 10: 0.050000149023543786, 11: 0.049997181937722714, 12: 0.050005592933007804, 13: 0.05000483174163078, 14: 0.050002890596610255, 15: 0.05000072954789529, 16: 0.050000105247905664, 17: 0.05000012825486153, 18: 0.05000072954789529, 19: 0.04998642734512051}
trust[1] =  {0: 0.050000129840378923, 1: 0.04999845738626442, 2: 0.05000539697085157, 3: 0.04999844932493319, 4: 0.049999634272332186, 5: 0.049998769317784374, 6: 0.04999937231405022, 7: 0.05000016336989622, 8: 0.050000797398800416, 9: 0.05000007589886794, 10: 0.05000015284732666, 11: 0.04999718255122146, 12: 0.05000558869549518, 13: 0.050004831427769944, 14: 0.05000289028273668, 15: 0.050000717819733226, 16: 0.050000109071688253, 17: 0.05000012794096983, 18: 0.05000072531035074, 19: 0.04998642795854867}
trust[2] =  {0: 0.050000661760420465, 1: 0.04999876706252747, 2: 0.05000410871110351, 3: 0.049999273220161615, 4: 0.05000409117329775, 5: 0.04999599389735335, 6: 0.049974102313708996, 7: 0.04999656933870514, 8: 0.04999303711626303, 9: 0.05000173912874649, 10: 0.05000988000032815, 11: 0.04999753465992436, 12: 0.05000678970624974, 13: 0.050005906871197846, 14: 0.050009391470777334, 15: 0.04998948434607326, 16: 0.050000748928978524, 17: 0.05000109203899454, 18: 0.05000852343516407, 19: 0.05000230482002444}
trust[3] =  {0: 0.04944224921318994, 1: 0.04925626711496453, 2: 0.04920698606758645, 3: 0.05045287983755065, 4: 0.05055318509231792, 5: 0.04935985017366917, 6: 0.04937176344592101, 7: 0.05040513126143497, 8: 0.04951605867312611, 9: 0.050378147473787105, 10: 0.050546437048538895, 11: 0.05027498472640028, 12: 0.0494022804216313, 13: 0.05030218975567922, 14: 0.05049750802104869, 15: 0.049420215768799354, 16: 0.05036034087167402, 17: 0.0503919044048621, 18: 0.050423141331867635, 19: 0.0504384792959505}
trust[4] =  {0: 0.0460556962926476, 1: 0.04518358291160195, 2: 0.04511057887111252, 3: 0.053295692996719775, 4: 0.05354090608304012, 5: 0.04575041843197486, 6: 0.04583893335873688, 7: 0.05259146412441109, 8: 0.04586991178930008, 9: 0.05276437054193304, 10: 0.052959974726072584, 11: 0.05274783098879675, 12: 0.045377410613990726, 13: 0.05281628295005538, 14: 0.05291412937896877, 15: 0.045838863346833396, 16: 0.052786344712538465, 17: 0.052636567925962933, 18: 0.05264395443526884, 19: 0.053277085520034066}
trust[5] =  {0: 0.040100211919325654, 1: 0.038314548545616285, 2: 0.03814970903195531, 3: 0.05804965016085497, 4: 0.05849962671703331, 5: 0.03947458847953636, 6: 0.0391322805085444, 7: 0.05641964641899031, 8: 0.03936339100301316, 9: 0.05699716106179671, 10: 0.05736759358856216, 11: 0.05687036092390467, 12: 0.03912311938890233, 13: 0.05714236104554833, 14: 0.057340672245543955, 15: 0.03932439001530657, 16: 0.056654543400167394, 17: 0.05659792245376482, 18: 0.057005888732634596, 19: 0.058072334358998744}
trust[6] =  {0: 0.030407840964331013, 1: 0.027831634216104024, 2: 0.027606298349765326, 3: 0.0648406645889879, 4: 0.06601575707960879, 5: 0.029375233482911163, 6: 0.028940531843004307, 7: 0.062333985273585454, 8: 0.029269799370796545, 9: 0.06361145462819066, 10: 0.064236018694948, 11: 0.0630869884322031, 12: 0.029239718717344466, 13: 0.064004018192273, 14: 0.06469261454093805, 15: 0.029110978622766754, 16: 0.06268239543518746, 17: 0.06326041839674543, 18: 0.06367460712428753, 19: 0.06577904204602109}
trust[7] =  {0: 0.01778170652859675, 1: 0.01481444656301785, 2: 0.013951423224460097, 3: 0.0735425321586646, 4: 0.07538971136200251, 5: 0.01600495922826937, 6: 0.015749921763654143, 7: 0.07002448023994058, 8: 0.0163066183478496, 9: 0.07234230486052219, 10: 0.07285403317201118, 11: 0.07126842445006946, 12: 0.016438171101419548, 13: 0.0732881464167975, 14: 0.07419663471622877, 15: 0.016405842263127506, 16: 0.07069875710740756, 17: 0.07166015386330818, 18: 0.0721233304041119, 19: 0.07515840222854078}
trust[8] =  {0: 0.002218302818022508, 1: 0.0, 2: 0.0, 3: 0.0841337756288647, 4: 0.08658356308037889, 5: 0.0, 6: 0.0, 7: 0.0790691100194553, 8: 0.0005634266610645958, 9: 0.08214316111860409, 10: 0.08289916493476598, 11: 0.08074289072773612, 12: 0.0011600806838879692, 13: 0.08408183552410736, 14: 0.08488192362031832, 15: 0.0011482001557555541, 16: 0.08018567928700224, 17: 0.08183355904313698, 18: 0.08206675973014867, 19: 0.0862885669667508}
trust[9] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0849862193845178, 4: 0.08796733039635612, 5: 0.0, 6: 0.0, 7: 0.0786582550670804, 8: 0.0, 9: 0.08262462128726111, 10: 0.08277352851016014, 11: 0.08060749673650353, 12: 0.0, 13: 0.08482323613897634, 14: 0.08534067089731195, 15: 0.0, 16: 0.08063982237533293, 17: 0.08230653961018349, 18: 0.08225009184517004, 19: 0.08702218775114623}
trust[10] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08486628210573618, 4: 0.08823732703865321, 5: 0.0, 6: 0.0, 7: 0.07822427230578562, 8: 0.0, 9: 0.08268920955732048, 10: 0.08263775203550178, 11: 0.08036383734275548, 12: 0.0, 13: 0.08525431644299843, 14: 0.08596191459284963, 15: 0.0, 16: 0.08019235596987033, 17: 0.08253185263807855, 18: 0.08205847822793257, 19: 0.08698240174251774}
