trust[0] =  {0: 0.010002396094145915, 1: 0.00999841732044048, 2: 0.00999084553903996, 3: 0.009983726385951814, 4: 0.00999229045017346, 5: 0.00999084553903996, 6: 0.009999870785644212, 7: 0.010007798876320135, 8: 0.009999266861881304, 9: 0.010007798876320135, 10: 0.009999411836525848, 11: 0.009996730586153316, 12: 0.009999411836525848, 13: 0.010022831301770823, 14: 0.010004462453529253, 15: 0.009999027508446535, 16: 0.00997818856457148, 17: 0.009994778419874216, 18: 0.00999937226446066, 19: 0.010011070793402205, 20: 0.009999163929020847, 21: 0.009998146949010755, 22: 0.009997134908438454, 23: 0.010005696559504045, 24: 0.009999163929020847, 25: 0.00999229045017346, 26: 0.010011070793402205, 27: 0.010001563840737368, 28: 0.009992962674169428, 29: 0.00999841732044048, 30: 0.00999937226446066, 31: 0.010016983300440919, 32: 0.00999007285190243, 33: 0.010015914163316498, 34: 0.01000286245242097, 35: 0.00999841732044048, 36: 0.009999266861881304, 37: 0.010003895632112639, 38: 0.009995316693014771, 39: 0.00999937226446066, 40: 0.00999937226446066, 41: 0.010004462453529253, 42: 0.00999970581679384, 43: 0.009999411836525848, 44: 0.00998161172054124, 45: 0.010000566618478448, 46: 0.009999027508446535, 47: 0.009999027508446535, 48: 0.009997843089867176, 49: 0.009999380818530891, 50: 0.01003242498761454, 51: 0.010003362298409877, 52: 0.009999027508446535, 53: 0.009980504156265176, 54: 0.010005062762659724, 55: 0.009997134908438454, 56: 0.010005696559504045, 57: 0.009984733487086322, 58: 0.009998654204156352, 59: 0.009988427014485808, 60: 0.00999229045017346, 61: 0.010015914163316498, 62: 0.009995821478441472, 63: 0.009997843089867176, 64: 0.00999750574300974, 65: 0.009991584738463637, 66: 0.010007064616334252, 67: 0.010016983300440919, 68: 0.009996730586153316, 69: 0.010001197945603875, 70: 0.00999885760015837, 71: 0.010010202582560907, 72: 0.009999411836525848, 73: 0.00999841732044048, 74: 0.009997134908438454, 75: 0.009979363104275253, 76: 0.00999947634223466, 77: 0.009986647226213771, 78: 0.010003362298409877, 79: 0.009999574335657324, 80: 0.009991584738463637, 81: 0.010007798876320135, 82: 0.009970438084357908, 83: 0.010001963223584714, 84: 0.010024101365178364, 85: 0.01002540491629976, 86: 0.010000865538184234, 87: 0.009998654204156352, 88: 0.009994778419874216, 89: 0.01000856662401987, 90: 0.009999870785644212, 91: 0.009973155528617847, 92: 0.009987553864206716, 93: 0.00999229045017346, 94: 0.010029516495947067, 95: 0.00999885760015837, 96: 0.010007064616334252, 97: 0.010000069242208438, 98: 0.009988427014485808, 99: 0.010042589769790845}
trust[1] =  {0: 0.01045657073498292, 1: 0.010249145088648267, 2: 0.009181114401652864, 3: 0.010296035228267265, 4: 0.009282087243670606, 5: 0.010435262097435206, 6: 0.010483736206841444, 7: 0.010628687749976117, 8: 0.009220853855794612, 9: 0.010249403099426338, 10: 0.010551840665428797, 11: 0.009264117909010905, 12: 0.009326035415513197, 13: 0.00925239166214276, 14: 0.010529895703224774, 15: 0.010472842678888575, 16: 0.009160430947833205, 17: 0.009284601699805885, 18: 0.01042968076785136, 19: 0.010485014174279576, 20: 0.009503249858089535, 21: 0.009180601805295154, 22: 0.009387753680030793, 23: 0.009437563013743985, 24: 0.009181629611873769, 25: 0.009190432584400127, 26: 0.010769999413844806, 27: 0.010593306210948549, 28: 0.009333981061429214, 29: 0.00934667473969421, 30: 0.01068087015730042, 31: 0.010673983030121091, 32: 0.008964148305362568, 33: 0.010666815715288984, 34: 0.00924755369755483, 35: 0.00933949377678819, 36: 0.010448573707611744, 37: 0.00946910925430656, 38: 0.010293081788418574, 39: 0.010229062735655447, 40: 0.010434379864474892, 41: 0.010551467488241473, 42: 0.010483569481765242, 43: 0.009318752913636841, 44: 0.010297649450113027, 45: 0.010464492285883446, 46: 0.009141525365649326, 47: 0.01030044812273249, 48: 0.010618625976184994, 49: 0.010706105990384462, 50: 0.010585205268010028, 51: 0.010497441548249409, 52: 0.010487955358462548, 53: 0.010285377435195427, 54: 0.010369006955431992, 55: 0.009048708119575795, 56: 0.010536485124017276, 57: 0.008860401409744837, 58: 0.010401471256269917, 59: 0.010331744792357966, 60: 0.009282087243670606, 61: 0.010552187525516293, 62: 0.00926319912311774, 63: 0.010612742258240854, 64: 0.010507041480571388, 65: 0.010455414786546246, 66: 0.01046615728557807, 67: 0.010723895864843692, 68: 0.010381881548312216, 69: 0.010360943438847954, 70: 0.010777744290476067, 71: 0.01069807180033224, 72: 0.010463325210350033, 73: 0.009310431461929655, 74: 0.010298535374478158, 75: 0.009283824203815547, 76: 0.010380329748105401, 77: 0.009305852413802015, 78: 0.010487264889563088, 79: 0.01060282603761414, 80: 0.00895690454706181, 81: 0.01049174869840638, 82: 0.009214784146067145, 83: 0.01044649813865595, 84: 0.010858314271523908, 85: 0.010738798548359095, 86: 0.010621680600890466, 87: 0.009258508733007719, 88: 0.010362804529334274, 89: 0.010528735235459068, 90: 0.009355290794784284, 91: 0.009131466046136065, 92: 0.009391924868852982, 93: 0.009282087243670606, 94: 0.010680562855668808, 95: 0.009181320021894665, 96: 0.010387998805473786, 97: 0.00931941731793061, 98: 0.009073437552655723, 99: 0.009605515373640764}
trust[2] =  {0: 0.0126933101617571, 1: 0.012969332058964089, 2: 0.005810876662651007, 3: 0.012677626909033856, 4: 0.005560839163270894, 5: 0.012703211268710619, 6: 0.012689922157849419, 7: 0.013728538606064555, 8: 0.00558245329710165, 9: 0.01280112167886281, 10: 0.013647263310189799, 11: 0.005114903478281684, 12: 0.005537581425800708, 13: 0.005175073454645539, 14: 0.013229572576535741, 15: 0.0128087889635632, 16: 0.0052921291422323175, 17: 0.005334776780447942, 18: 0.013135776795093524, 19: 0.012980227594845878, 20: 0.005494444065091191, 21: 0.005206942113407699, 22: 0.005443872756726442, 23: 0.005897140557264413, 24: 0.005118288269235844, 25: 0.005341488982238989, 26: 0.013201484065799251, 27: 0.013236198791357982, 28: 0.00568489494423569, 29: 0.005801014966964462, 30: 0.013450570462676385, 31: 0.013357681190013954, 32: 0.005102165371734825, 33: 0.012991853899770226, 34: 0.005206030157475434, 35: 0.005534292167180641, 36: 0.012397473243452582, 37: 0.005793294733826075, 38: 0.012629765489172865, 39: 0.01248512994218331, 40: 0.012846524885017379, 41: 0.013264581313724644, 42: 0.012554247780592534, 43: 0.005227168831484703, 44: 0.012228102221706668, 45: 0.013052249096105589, 46: 0.004838402695951336, 47: 0.012682294090689971, 48: 0.013274994383141767, 49: 0.01364084626709573, 50: 0.013109411033919846, 51: 0.013244236438221878, 52: 0.012903187595790767, 53: 0.012176477427936198, 54: 0.012975047230218455, 55: 0.004813942339119709, 56: 0.013959804681061647, 57: 0.004522564455938971, 58: 0.012997471693488114, 59: 0.012529172439687233, 60: 0.005097409788074161, 61: 0.013062863494780141, 62: 0.005276421655981276, 63: 0.01318539777481998, 64: 0.012811883246506131, 65: 0.012628168679643567, 66: 0.012525657240384756, 67: 0.01389604673010177, 68: 0.012779693006413045, 69: 0.013038726174932012, 70: 0.01404802499811353, 71: 0.013299288320286146, 72: 0.013540390774651285, 73: 0.005847288252716203, 74: 0.012409957568862493, 75: 0.005597332878037606, 76: 0.013232671597355205, 77: 0.005249669245372843, 78: 0.012558156131363641, 79: 0.013343393403539435, 80: 0.004587492421759047, 81: 0.01374554928935679, 82: 0.005729279219470636, 83: 0.013045093190254061, 84: 0.01409229938630093, 85: 0.013536614329413728, 86: 0.013218495179291518, 87: 0.005360493473046439, 88: 0.013581847243179094, 89: 0.012531535037441323, 90: 0.005793100245127546, 91: 0.005208394462104854, 92: 0.006000524083743895, 93: 0.005595495827867982, 94: 0.013639529581765265, 95: 0.005225543632825969, 96: 0.01307949905824475, 97: 0.005353756685852609, 98: 0.005200122868034035, 99: 0.00635881526638055}
trust[3] =  {0: 0.016083024629008746, 1: 0.017356681653418707, 2: 0.0, 3: 0.01624571121362582, 4: 0.0, 5: 0.01599115717529501, 6: 0.0162733361594696, 7: 0.018045777006832735, 8: 0.0, 9: 0.015850194587235487, 10: 0.01781448203259566, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.016837808513379474, 15: 0.016501053647867487, 16: 0.0, 17: 0.0, 18: 0.016911156453329627, 19: 0.01661438032809084, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.016962523921772738, 27: 0.017138752910134593, 28: 0.0, 29: 0.0, 30: 0.017762823487512274, 31: 0.016528745961419324, 32: 0.0, 33: 0.0163869227675229, 34: 0.0, 35: 0.0, 36: 0.01512943137454192, 37: 0.0, 38: 0.01567576511363064, 39: 0.015556333459878592, 40: 0.016108220476277146, 41: 0.017775876674797228, 42: 0.015598892990252161, 43: 0.0, 44: 0.01529469593125639, 45: 0.016317634363880618, 46: 0.0, 47: 0.016235387010938025, 48: 0.01711528488685743, 49: 0.01724131515173197, 50: 0.016685239413634652, 51: 0.01702156132690017, 52: 0.016400282797029677, 53: 0.014930701765893405, 54: 0.01676309655040321, 55: 0.0, 56: 0.018132628852384057, 57: 0.0, 58: 0.016036218316856414, 59: 0.015886645166597144, 60: 0.0, 61: 0.016775066926087535, 62: 0.0, 63: 0.016283110745668735, 64: 0.016367300356320003, 65: 0.0162560072143577, 66: 0.01572436582787659, 67: 0.017986386119052237, 68: 0.016471435852917018, 69: 0.0162040704683132, 70: 0.018321165926272018, 71: 0.017077600567891708, 72: 0.01735416601357766, 73: 0.0, 74: 0.015750694345265583, 75: 0.0, 76: 0.017278815433311164, 77: 0.0, 78: 0.015547684641279732, 79: 0.017122496678555053, 80: 0.0, 81: 0.01806309277778733, 82: 0.0, 83: 0.016353632232985523, 84: 0.018300275003296708, 85: 0.016696767719560614, 86: 0.01691810797004537, 87: 0.0, 88: 0.017242035604951623, 89: 0.015889050137688827, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.017455082881360457, 95: 0.0, 96: 0.017351844483325697, 97: 0.0, 98: 0.0, 99: 0.0}
trust[4] =  {0: 0.01615690495297813, 1: 0.018129761673859685, 2: 0.0, 3: 0.015808758909440987, 4: 0.0, 5: 0.016304630972024593, 6: 0.015896974438182936, 7: 0.017564964901577298, 8: 0.0, 9: 0.015578097800083434, 10: 0.018007151218202105, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01645904493897056, 15: 0.016082136027480768, 16: 0.0, 17: 0.0, 18: 0.017858080478872697, 19: 0.016686823638452773, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.01728939533357869, 27: 0.01686730196202766, 28: 0.0, 29: 0.0, 30: 0.01793785557679214, 31: 0.016947433699705878, 32: 0.0, 33: 0.01580865125570728, 34: 0.0, 35: 0.0, 36: 0.014887493720003567, 37: 0.0, 38: 0.015285954773129965, 39: 0.015860533847255966, 40: 0.016349003465984953, 41: 0.017917427211670823, 42: 0.015456747107447143, 43: 0.0, 44: 0.015012035976544028, 45: 0.016094685644145446, 46: 0.0, 47: 0.016357825485303013, 48: 0.017541276031672683, 49: 0.01720289597966492, 50: 0.01648328159963535, 51: 0.017228929118334072, 52: 0.016410275688088775, 53: 0.014711252919548083, 54: 0.016930432044662106, 55: 0.0, 56: 0.01744862042419362, 57: 0.0, 58: 0.015841189603879462, 59: 0.015578531975796272, 60: 0.0, 61: 0.017300211930713832, 62: 0.0, 63: 0.016166205404404006, 64: 0.016008526609515662, 65: 0.01628726346390061, 66: 0.01563376963357123, 67: 0.017970932640833097, 68: 0.017025507726004075, 69: 0.016092631681352117, 70: 0.01877707887918284, 71: 0.01703590329041763, 72: 0.017229832128475613, 73: 0.0, 74: 0.015935062561932646, 75: 0.0, 76: 0.017959942575922507, 77: 0.0, 78: 0.01562602798697947, 79: 0.016925982207120056, 80: 0.0, 81: 0.01810370712351262, 82: 0.0, 83: 0.016710689431504347, 84: 0.017506171805687008, 85: 0.016705518878964976, 86: 0.017150967365581225, 87: 0.0, 88: 0.017058927287955473, 89: 0.015855234482508897, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.017262566770560553, 95: 0.0, 96: 0.01768897773850188, 97: 0.0, 98: 0.0, 99: 0.0}
trust[5] =  {0: 0.01650939357861016, 1: 0.018353681642142575, 2: 0.0, 3: 0.015597015849493679, 4: 0.0, 5: 0.01655683911671618, 6: 0.016020907993011268, 7: 0.01697934101879995, 8: 0.0, 9: 0.01581732660992093, 10: 0.018122803492503874, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.016314918696599873, 15: 0.015782707836557053, 16: 0.0, 17: 0.0, 18: 0.018492552299346696, 19: 0.01658336417882464, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.017321721505650187, 27: 0.01641279702072334, 28: 0.0, 29: 0.0, 30: 0.017795538606993396, 31: 0.017301832913063676, 32: 0.0, 33: 0.01581076279261349, 34: 0.0, 35: 0.0, 36: 0.0146745425231334, 37: 0.0, 38: 0.015314113297757862, 39: 0.015791113869968124, 40: 0.016395356611893393, 41: 0.01763035344613175, 42: 0.015424677315686332, 43: 0.0, 44: 0.015567251192096742, 45: 0.015820020619232066, 46: 0.0, 47: 0.016269983597023505, 48: 0.01737042294209798, 49: 0.016916581767303047, 50: 0.016464006570453403, 51: 0.01743024562663725, 52: 0.01635202738876141, 53: 0.01495135697894106, 54: 0.017074594557741737, 55: 0.0, 56: 0.016823422259235127, 57: 0.0, 58: 0.015892487955081087, 59: 0.01586195060531434, 60: 0.0, 61: 0.017329624979694445, 62: 0.0, 63: 0.016335878965724433, 64: 0.015913602182058912, 65: 0.016160475286983, 66: 0.015483238387200822, 67: 0.017834867807464065, 68: 0.017374407560783317, 69: 0.0164321339526937, 70: 0.01874792489514048, 71: 0.016897260756568486, 72: 0.01709818322208046, 73: 0.0, 74: 0.016256702121271175, 75: 0.0, 76: 0.018166558315761104, 77: 0.0, 78: 0.015491689937063135, 79: 0.01705618270667092, 80: 0.0, 81: 0.018193354986833093, 82: 0.0, 83: 0.01689887252466676, 84: 0.01705110755527178, 85: 0.016759751685583534, 86: 0.01734254363170962, 87: 0.0, 88: 0.016638123872778215, 89: 0.01603456936096736, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.01719668047529022, 95: 0.0, 96: 0.017508250553680372, 97: 0.0, 98: 0.0, 99: 0.0}
trust[6] =  {0: 0.016801298199558924, 1: 0.01860482006397656, 2: 0.0, 3: 0.01560507767342621, 4: 0.0, 5: 0.01647381057634849, 6: 0.016116431618199072, 7: 0.016531086317595044, 8: 0.0, 9: 0.015999137104149644, 10: 0.017768655851095792, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.016196235391354265, 15: 0.01548221847363982, 16: 0.0, 17: 0.0, 18: 0.018640937178257943, 19: 0.016492964161305464, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.017387875222446208, 27: 0.016237734394771264, 28: 0.0, 29: 0.0, 30: 0.017668757046777474, 31: 0.017974768383852608, 32: 0.0, 33: 0.016099145416464247, 34: 0.0, 35: 0.0, 36: 0.014598111496290544, 37: 0.0, 38: 0.015200271274175042, 39: 0.015658715336767905, 40: 0.01626894455929936, 41: 0.017503787819770585, 42: 0.015524219205223547, 43: 0.0, 44: 0.0158932582653504, 45: 0.015650942409349167, 46: 0.0, 47: 0.016325997943282995, 48: 0.01712061845725926, 49: 0.016988377660336326, 50: 0.01628928957332895, 51: 0.01735929118841229, 52: 0.016718439435836983, 53: 0.014966683277976765, 54: 0.016981701681435705, 55: 0.0, 56: 0.01643288194986745, 57: 0.0, 58: 0.016098157556644923, 59: 0.015695530861251545, 60: 0.0, 61: 0.01730183946371075, 62: 0.0, 63: 0.016403387673024832, 64: 0.01609846419279991, 65: 0.01591109370625878, 66: 0.015393467138567242, 67: 0.017820060553600123, 68: 0.01754959748113906, 69: 0.016714831829252784, 70: 0.01858818419798827, 71: 0.017004861916423405, 72: 0.017089171850491854, 73: 0.0, 74: 0.01680492860316219, 75: 0.0, 76: 0.0180905400997327, 77: 0.0, 78: 0.015456862579159873, 79: 0.016968406596498373, 80: 0.0, 81: 0.018048050821441685, 82: 0.0, 83: 0.017221785112981367, 84: 0.016890042771342473, 85: 0.016679656481577446, 86: 0.017418285860078552, 87: 0.0, 88: 0.016444245312116273, 89: 0.016260754769285575, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.017084871541277843, 95: 0.0, 96: 0.017400436423009934, 97: 0.0, 98: 0.0, 99: 0.0}
trust[7] =  {0: 0.016829254681345225, 1: 0.018381364315977974, 2: 0.0, 3: 0.015413776395775087, 4: 0.0, 5: 0.01635512592653307, 6: 0.016384794287050815, 7: 0.01641091942810326, 8: 0.0, 9: 0.01616458188464431, 10: 0.017689913857087607, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01618612507055432, 15: 0.015184386001786496, 16: 0.0, 17: 0.0, 18: 0.018627748870820263, 19: 0.016458028655803356, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.017557362858460254, 27: 0.01614191168237213, 28: 0.0, 29: 0.0, 30: 0.01754151831448478, 31: 0.018182917286313976, 32: 0.0, 33: 0.01628135855251399, 34: 0.0, 35: 0.0, 36: 0.014385104477396432, 37: 0.0, 38: 0.01532617568452806, 39: 0.015639654833896236, 40: 0.016238156860273942, 41: 0.01721131325573631, 42: 0.015794703757942907, 43: 0.0, 44: 0.01596931001743759, 45: 0.015604983475626505, 46: 0.0, 47: 0.016413534252734542, 48: 0.016892261708031955, 49: 0.016917706710974544, 50: 0.016357197617989202, 51: 0.017243752536428594, 52: 0.016785149246446925, 53: 0.015086304133625234, 54: 0.016943188570355896, 55: 0.0, 56: 0.01623750341454482, 57: 0.0, 58: 0.016042028367841507, 59: 0.01559340799629983, 60: 0.0, 61: 0.01730963717122002, 62: 0.0, 63: 0.016453869758350073, 64: 0.01629598872142356, 65: 0.015718798781742514, 66: 0.01536279996825881, 67: 0.01789800299316667, 68: 0.01756408268033561, 69: 0.016966711645957807, 70: 0.018416322271407215, 71: 0.017081758187096834, 72: 0.017004954233964885, 73: 0.0, 74: 0.016969421466177664, 75: 0.0, 76: 0.018107279090602356, 77: 0.0, 78: 0.015553711376795142, 79: 0.016979243085922673, 80: 0.0, 81: 0.017936284610202715, 82: 0.0, 83: 0.017517090283551764, 84: 0.01677210793674014, 85: 0.016803108048783866, 86: 0.0176893105927701, 87: 0.0, 88: 0.01648310810814458, 89: 0.016427267962375158, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.01713901429514521, 95: 0.0, 96: 0.017077601742126587, 97: 0.0, 98: 0.0, 99: 0.0}
trust[8] =  {0: 0.0167481862900484, 1: 0.018128258592957948, 2: 0.0, 3: 0.015429249360647346, 4: 0.0, 5: 0.01629083342901499, 6: 0.016583800798594707, 7: 0.016420305508685906, 8: 0.0, 9: 0.016365975363655732, 10: 0.017421309020961603, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01620036286671003, 15: 0.015193375912226116, 16: 0.0, 17: 0.0, 18: 0.018459906724686878, 19: 0.016635928953076355, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.017510766822462647, 27: 0.01633462871637034, 28: 0.0, 29: 0.0, 30: 0.01742248507713696, 31: 0.018317928335102807, 32: 0.0, 33: 0.016403538343341646, 34: 0.0, 35: 0.0, 36: 0.014538122433318508, 37: 0.0, 38: 0.015469527469230054, 39: 0.015796461905943828, 40: 0.01611867480842912, 41: 0.01693009084826065, 42: 0.01589192545893443, 43: 0.0, 44: 0.01589786720052477, 45: 0.01544948670314115, 46: 0.0, 47: 0.01654317942403659, 48: 0.01676292448873686, 49: 0.01696312735841463, 50: 0.016397109527690364, 51: 0.01714936187066247, 52: 0.01682292848217059, 53: 0.01515252725021282, 54: 0.01687462832470312, 55: 0.0, 56: 0.016177381100846072, 57: 0.0, 58: 0.01606797088257249, 59: 0.015455646814406487, 60: 0.0, 61: 0.01727278534522321, 62: 0.0, 63: 0.01658712405555683, 64: 0.016535918289650245, 65: 0.015617255059666706, 66: 0.015554768014254214, 67: 0.01786204040420752, 68: 0.017531022222122196, 69: 0.0172461369257526, 70: 0.018293679016126056, 71: 0.01711058129963864, 72: 0.01685818207490089, 73: 0.0, 74: 0.01681784673167961, 75: 0.0, 76: 0.01797979624095943, 77: 0.0, 78: 0.015855346599779337, 79: 0.016991623521205666, 80: 0.0, 81: 0.017842514942553914, 82: 0.0, 83: 0.017622209141104805, 84: 0.016677399147860143, 85: 0.016774919141804987, 86: 0.01791866105223558, 87: 0.0, 88: 0.016411755112258626, 89: 0.016431942379933524, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.017105348516968436, 95: 0.0, 96: 0.01677536229664133, 97: 0.0, 98: 0.0, 99: 0.0}
trust[9] =  {0: 0.016746225593000895, 1: 0.01813074507085791, 2: 0.0, 3: 0.015408463580539608, 4: 0.0, 5: 0.01628803628956423, 6: 0.016591120138161067, 7: 0.016421041914651366, 8: 0.0, 9: 0.016366915360952496, 10: 0.017423786402579723, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01620037774238012, 15: 0.01518726921335673, 16: 0.0, 17: 0.0, 18: 0.018469470606161362, 19: 0.016637110204474243, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.017516179099153015, 27: 0.01633464531963184, 28: 0.0, 29: 0.0, 30: 0.0174245907323501, 31: 0.018333843486110567, 32: 0.0, 33: 0.01640498787543364, 34: 0.0, 35: 0.0, 36: 0.014513617818825132, 37: 0.0, 38: 0.01546405728890794, 39: 0.015796340972750678, 40: 0.016113212980650646, 41: 0.016930212234964024, 42: 0.015891212977019786, 43: 0.0, 44: 0.01589110311075789, 45: 0.01544051653606903, 46: 0.0, 47: 0.01654343515172252, 48: 0.016763146204619193, 49: 0.016968532588657683, 50: 0.016397326536651415, 51: 0.01714889665069121, 52: 0.01682325813885251, 53: 0.015149715464238128, 54: 0.01687392848717301, 55: 0.0, 56: 0.01617128706311813, 57: 0.0, 58: 0.016060509035743162, 59: 0.015440370516554676, 60: 0.0, 61: 0.017273737010394877, 62: 0.0, 63: 0.016587862607967498, 64: 0.016536860473593432, 65: 0.015606652728106265, 66: 0.015549298930717576, 67: 0.017867457200716034, 68: 0.01754057415169011, 69: 0.01726005566454646, 70: 0.01829701157624184, 71: 0.017110705008702872, 72: 0.016858366167792273, 73: 0.0, 74: 0.016818417452620697, 75: 0.0, 76: 0.017986460389129065, 77: 0.0, 78: 0.015853739458103425, 79: 0.016994939327843944, 80: 0.0, 81: 0.017843269648011105, 82: 0.0, 83: 0.017634284058181897, 84: 0.016682228018745082, 85: 0.016774646696248043, 86: 0.017936687648339063, 87: 0.0, 88: 0.01641196360220419, 89: 0.016432151129627568, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.017105535790137037, 95: 0.0, 96: 0.016771606873014173, 97: 0.0, 98: 0.0, 99: 0.0}
trust[10] =  {0: 0.01674352808850164, 1: 0.018131793675025078, 2: 0.0, 3: 0.015391041981818992, 4: 0.0, 5: 0.016278106061120366, 6: 0.01659366574011733, 7: 0.016422119062168544, 8: 0.0, 9: 0.01636556599116383, 10: 0.017429529721220697, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.016199501118570728, 15: 0.015182720105527571, 16: 0.0, 17: 0.0, 18: 0.01847800733061577, 19: 0.01664224766384864, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.017517237963447254, 27: 0.016332692565986785, 28: 0.0, 29: 0.0, 30: 0.0174256511257044, 31: 0.01834398884199117, 32: 0.0, 33: 0.016405129824907914, 34: 0.0, 35: 0.0, 36: 0.01450023210072199, 37: 0.0, 38: 0.015458363809706256, 39: 0.015794397206051296, 40: 0.016110106870607613, 41: 0.016929861487062166, 42: 0.015890677523383613, 43: 0.0, 44: 0.015883441707144612, 45: 0.015431388012156086, 46: 0.0, 47: 0.016542334562393998, 48: 0.016763282174670362, 49: 0.016981361458292068, 50: 0.016397201816430573, 51: 0.017145320587122127, 52: 0.016822152877902816, 53: 0.01514778249289708, 54: 0.016873578678923577, 55: 0.0, 56: 0.016166168396603765, 57: 0.0, 58: 0.016058208663621405, 59: 0.015429633395320743, 60: 0.0, 61: 0.017273597658575085, 62: 0.0, 63: 0.01659134484667964, 64: 0.016535759994028607, 65: 0.015598996073368138, 66: 0.015547677994284536, 67: 0.01787525102601988, 68: 0.017544040484963375, 69: 0.017274820926756126, 70: 0.018298726073066946, 71: 0.017111770642352857, 72: 0.016857932338104075, 73: 0.0, 74: 0.016818402356503503, 75: 0.0, 76: 0.01799353276720968, 77: 0.0, 78: 0.015853623813023018, 79: 0.016996324483804538, 80: 0.0, 81: 0.017842971751477806, 82: 0.0, 83: 0.01764904307268009, 84: 0.0166818814109188, 85: 0.01677409649376043, 86: 0.01795688082473073, 87: 0.0, 88: 0.016411537225169182, 89: 0.016431808696813863, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.017106066798577704, 95: 0.0, 96: 0.016765891564382452, 97: 0.0, 98: 0.0, 99: 0.0}
