trust[0] =  {0: 0.009974841585120554, 1: 0.009675064551979664, 2: 0.009954026188759419, 3: 0.009985163181046518, 4: 0.009995641057780861, 5: 0.009849673572082733, 6: 0.010151551001463671, 7: 0.010018129755841381, 8: 0.010185168370062555, 9: 0.009984484912405396, 10: 0.010032051622711728, 11: 0.009981863715531192, 12: 0.010124129884806217, 13: 0.009950259113795833, 14: 0.009736651536062702, 15: 0.009989781752454133, 16: 0.010176396240030486, 17: 0.010001123846324695, 18: 0.010221112171689138, 19: 0.010277669984305265, 20: 0.00998804930832741, 21: 0.009956494757608767, 22: 0.009937039923595946, 23: 0.009944793054234149, 24: 0.009672079021462379, 25: 0.0099969574807007, 26: 0.010064469925633649, 27: 0.009914206990107725, 28: 0.009997743880584192, 29: 0.00993463725196047, 30: 0.00999373003857856, 31: 0.009858335867894235, 32: 0.009692687215792334, 33: 0.009996056362551579, 34: 0.009994498048648309, 35: 0.00998804930832741, 36: 0.009996245632184646, 37: 0.010171876752888562, 38: 0.009995661763105016, 39: 0.01002752357017504, 40: 0.010007555436357557, 41: 0.0100994262240639, 42: 0.01006340141764338, 43: 0.009940553547269724, 44: 0.009858903939304645, 45: 0.01000779942347112, 46: 0.010178812085021917, 47: 0.009930226870046847, 48: 0.009983146140798997, 49: 0.009964757957388316, 50: 0.010160393993111942, 51: 0.010011899621136196, 52: 0.010199035598645101, 53: 0.009989177383287704, 54: 0.00991155764416788, 55: 0.009986704895360098, 56: 0.009977037856211438, 57: 0.009957939745406602, 58: 0.009978800945086245, 59: 0.009986936496169602, 60: 0.010015664469381028, 61: 0.01007767429636321, 62: 0.009972861960502764, 63: 0.009996245632184646, 64: 0.00992584828936267, 65: 0.009974257109599852, 66: 0.00999518640208152, 67: 0.010163395887262361, 68: 0.010174894484487112, 69: 0.010005035912252781, 70: 0.00998804930832741, 71: 0.010178812085021917, 72: 0.010102411741873268, 73: 0.009897263204538946, 74: 0.009838929286086895, 75: 0.009921900823547599, 76: 0.010272480418468113, 77: 0.010042815213289372, 78: 0.010247255659517843, 79: 0.010062077551376827, 80: 0.009994675226018832, 81: 0.01001349832236147, 82: 0.01000046853532891, 83: 0.010141542612521348, 84: 0.00997070453460974, 85: 0.0100094024964634, 86: 0.009996245632184646, 87: 0.009746958780143346, 88: 0.009861485850074516, 89: 0.00990795927807558, 90: 0.009936144570718857, 91: 0.0100307439754106, 92: 0.010001259992611446, 93: 0.009986936496169602, 94: 0.010086361662457332, 95: 0.009920719162911876, 96: 0.010079303962918127, 97: 0.009876460835954105, 98: 0.009992582596613765, 99: 0.01001349832236147}
trust[1] =  {0: 0.009927284281254565, 1: 0.010541325566836821, 2: 0.009339403530432711, 3: 0.010898223887132392, 4: 0.009773673253702089, 5: 0.01008984316957557, 6: 0.01004940285000605, 7: 0.00991090131024645, 8: 0.010183286142668037, 9: 0.009772232485930126, 10: 0.009928576663882168, 11: 0.009863924078534978, 12: 0.009661464467324079, 13: 0.00875995781265017, 14: 0.009551518869190536, 15: 0.009401668418480119, 16: 0.010910070457440144, 17: 0.00985431401083234, 18: 0.009752980857968394, 19: 0.014143298232736027, 20: 0.009366087002687668, 21: 0.009343083763030972, 22: 0.009134159111481919, 23: 0.00909531875674865, 24: 0.008701515644260235, 25: 0.009547647590951542, 26: 0.00985711526623211, 27: 0.0096468492188067, 28: 0.00955550010587003, 29: 0.00986250473190195, 30: 0.011294399738543574, 31: 0.0132833596487094, 32: 0.008783971861559582, 33: 0.010716882945458712, 34: 0.009955302089145942, 35: 0.009114279257298704, 36: 0.009863603811368341, 37: 0.010969517866861678, 38: 0.009944062327905583, 39: 0.00989619265214161, 40: 0.01026318383284479, 41: 0.012557213520550073, 42: 0.010297796925614548, 43: 0.009083227788910773, 44: 0.009706295289886077, 45: 0.009928723680994173, 46: 0.00911970875644263, 47: 0.009419059572117729, 48: 0.01056829570764718, 49: 0.010519912959132228, 50: 0.01018988716774147, 51: 0.00977016720569182, 52: 0.010672031155831504, 53: 0.009879324435808572, 54: 0.009802900309585456, 55: 0.009601068363873502, 56: 0.009861549588600822, 57: 0.009846362928071348, 58: 0.0100019478813324, 59: 0.010634450104341782, 60: 0.009801387632282783, 61: 0.00993768484582119, 62: 0.008425396300089245, 63: 0.010492672862690679, 64: 0.011036960045816281, 65: 0.00986920596513393, 66: 0.010092439520779954, 67: 0.009417689073442252, 68: 0.010207690243573526, 69: 0.009889957145434196, 70: 0.010408672737007041, 71: 0.01598607388168498, 72: 0.00976499112573124, 73: 0.009967261940644918, 74: 0.008958775417800498, 75: 0.009056840202083744, 76: 0.010171001465944, 77: 0.009935519679752492, 78: 0.010127831674010858, 79: 0.010274151170156802, 80: 0.009860650091408922, 81: 0.009952287996279324, 82: 0.009889382884811346, 83: 0.013835267254783366, 84: 0.009826534523343878, 85: 0.009953786686225326, 86: 0.011806278247929177, 87: 0.008479850565312325, 88: 0.01013957614430772, 89: 0.009466702958021067, 90: 0.008322453217116698, 91: 0.008556001773569718, 92: 0.008844175467213897, 93: 0.009203692836249314, 94: 0.010062118200354185, 95: 0.0090215785352543, 96: 0.010011207526092285, 97: 0.008285803401435412, 98: 0.008829158879764008, 99: 0.009863478967839357}
trust[2] =  {0: 0.009994384461591722, 1: 0.014419977515959503, 2: 0.007820392999308859, 3: 0.012670945965052523, 4: 0.008884513998757795, 5: 0.013435928985305861, 6: 0.010713273140704438, 7: 0.010481180113596885, 8: 0.009099464154096392, 9: 0.01072067857923442, 10: 0.010255663842418498, 11: 0.008675756920992945, 12: 0.009231838878306666, 13: 0.0064096196760713335, 14: 0.010436044275033491, 15: 0.010239682845400019, 16: 0.010725598818680123, 17: 0.008089326721890182, 18: 0.010307980114024054, 19: 0.015205352956610024, 20: 0.007490769539665817, 21: 0.0069113398043803695, 22: 0.00821107716673696, 23: 0.006466004659563496, 24: 0.005866179852541573, 25: 0.00869981812902777, 26: 0.009887694343436773, 27: 0.010647047301704168, 28: 0.006540127005014068, 29: 0.009185553771994096, 30: 0.012033545757316876, 31: 0.01867831155916854, 32: 0.006280859346708293, 33: 0.011319507948373522, 34: 0.009227899844495112, 35: 0.00722936719564922, 36: 0.011342143091115189, 37: 0.010526009075834224, 38: 0.012631812732309643, 39: 0.010732202918494804, 40: 0.011152953491810775, 41: 0.012981273125468639, 42: 0.010870926759495927, 43: 0.0068057078949465616, 44: 0.010372061417325235, 45: 0.010060175412469773, 46: 0.0054795814977727526, 47: 0.010062974843398204, 48: 0.01072120038441158, 49: 0.012056373642163904, 50: 0.01041495177352824, 51: 0.010280449531984174, 52: 0.011518249845491713, 53: 0.009982477695149884, 54: 0.009892618743030455, 55: 0.008480903932109379, 56: 0.010422814224929121, 57: 0.008838275504084031, 58: 0.01463548210822494, 59: 0.012799207179603173, 60: 0.009133102345214614, 61: 0.010145453594494515, 62: 0.006137880781202631, 63: 0.011669120672908281, 64: 0.015870764913670402, 65: 0.015378145911003291, 66: 0.011507692166349032, 67: 0.010963941113240668, 68: 0.010512114394038197, 69: 0.010085548115715702, 70: 0.011252950740697121, 71: 0.01801608913457313, 72: 0.009980318782084942, 73: 0.009781250183646064, 74: 0.00917764461332135, 75: 0.005248322114631381, 76: 0.011323046013909585, 77: 0.00847824422930791, 78: 0.010202918282590658, 79: 0.010592529633624847, 80: 0.008800170977893889, 81: 0.010096220875475658, 82: 0.008676757808982631, 83: 0.01461324646467833, 84: 0.009929690323109584, 85: 0.010067129141857227, 86: 0.015165012459294842, 87: 0.005272062443164986, 88: 0.01448902014463635, 89: 0.010278173636751362, 90: 0.005895697989927865, 91: 0.006296314579157504, 92: 0.007918956635436772, 93: 0.005587870476436378, 94: 0.010135594643740298, 95: 0.006373839523488626, 96: 0.011978889168839562, 97: 0.004012455966855329, 98: 0.005867514554203358, 99: 0.007534769435880732}
trust[3] =  {0: 0.01093345043478825, 1: 0.0211362307027544, 2: 0.0037823469705889367, 3: 0.01615452438433241, 4: 0.004599692075029106, 5: 0.018424487698397458, 6: 0.013258486131971718, 7: 0.01241078289179235, 8: 0.00599791358697115, 9: 0.013794735257049787, 10: 0.013084986744710194, 11: 0.00543418077053697, 12: 0.0052471320582552685, 13: 0.0004881502310032751, 14: 0.013022385660229924, 15: 0.012782681705210866, 16: 0.009171839998481502, 17: 0.003983985927561281, 18: 0.01168270214115683, 19: 0.018998290627783573, 20: 0.0021769852390644395, 21: 0.001009580351645238, 22: 0.004484442514855424, 23: 0.00044830819856076377, 24: 0.0, 25: 0.00399117840192738, 26: 0.010522214443803541, 27: 0.013583071797540081, 28: 0.0007966672276798368, 29: 0.00685285591448593, 30: 0.014575882163571993, 31: 0.02582006374969182, 32: 0.0008882758650644087, 33: 0.014527226774121023, 34: 0.00712056410041483, 35: 0.001540848670361769, 36: 0.015433757588828841, 37: 0.008462508758211798, 38: 0.01722085674174312, 39: 0.011944993327633416, 40: 0.013044506720524249, 41: 0.015059112730090135, 42: 0.012313220777156129, 43: 0.0017485709318468751, 44: 0.013004652535852146, 45: 0.011417440267826227, 46: 0.0, 47: 0.013750540440601214, 48: 0.012865611557559642, 49: 0.016024209981338328, 50: 0.011763129002052189, 51: 0.012588679983157838, 52: 0.01475022023252724, 53: 0.013192248053301369, 54: 0.011168810702915925, 55: 0.004796516371439479, 56: 0.012720259174707746, 57: 0.006174572234434348, 58: 0.02171358488846069, 59: 0.017446154652620522, 60: 0.006874628552817708, 61: 0.012114563686137832, 62: 0.0, 63: 0.014482072586176908, 64: 0.021610720410853837, 65: 0.020380301193965028, 66: 0.014759944213547004, 67: 0.013455662984927225, 68: 0.012323994593003386, 69: 0.01169318097370523, 70: 0.015594613452196445, 71: 0.023308191602052653, 72: 0.011165437519107074, 73: 0.008775666216678342, 74: 0.010632508229661249, 75: 0.0, 76: 0.01319990174425745, 77: 0.005369818574395473, 78: 0.011376319375262013, 79: 0.012024629367358874, 80: 0.0043405843946784034, 81: 0.011170362768493074, 82: 0.004973146287554524, 83: 0.01869589748711732, 84: 0.011679765883753182, 85: 0.011557912837592197, 86: 0.020274848753305798, 87: 0.0, 88: 0.021580624161087778, 89: 0.01285756955830455, 90: 0.0, 91: 0.0, 92: 0.003044937932044034, 93: 0.0, 94: 0.010889952373903614, 95: 0.0, 96: 0.01554552868580775, 97: 0.0, 98: 0.0, 99: 0.0029154045340306755}
trust[4] =  {0: 0.012865587296023589, 1: 0.02362462956758555, 2: 0.0, 3: 0.018022598767749795, 4: 0.0, 5: 0.019737352796489683, 6: 0.015603103119131306, 7: 0.014578876826498029, 8: 0.0, 9: 0.015497577083302292, 10: 0.017313888839626545, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.015348763303844465, 15: 0.01671179419370387, 16: 0.0006223463296631936, 17: 0.0, 18: 0.012628339883649755, 19: 0.020515027990649668, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.011785094176978862, 27: 0.015413649304789376, 28: 0.0, 29: 0.0, 30: 0.015728783442191044, 31: 0.02804058366023104, 32: 0.0, 33: 0.016376036687308693, 34: 0.0, 35: 0.0, 36: 0.018042349667922994, 37: 0.0, 38: 0.019686565510273868, 39: 0.011927268929024619, 40: 0.014617300803431515, 41: 0.015732192429797197, 42: 0.01372750120405062, 43: 0.0, 44: 0.01539553486170405, 45: 0.012644787159279759, 46: 0.0, 47: 0.018340510377784582, 48: 0.01469794330683438, 49: 0.018788201431002547, 50: 0.014081673654775213, 51: 0.014546863657415551, 52: 0.01675507457410979, 53: 0.01607435122703308, 54: 0.012572022743305579, 55: 0.0, 56: 0.014529609176942047, 57: 0.0, 58: 0.025293742643471492, 59: 0.019930836879672228, 60: 0.0, 61: 0.013582416697032864, 62: 0.0, 63: 0.016678176029163813, 64: 0.023796683112576773, 65: 0.02259848154787561, 66: 0.017656947452725454, 67: 0.015076821206255173, 68: 0.014718786120742304, 69: 0.01464222328952271, 70: 0.01936451399412608, 71: 0.024751260147743405, 72: 0.01197972793556708, 73: 0.0, 74: 0.012199288761412004, 75: 0.0, 76: 0.014878032613644777, 77: 0.0, 78: 0.01242228032889671, 79: 0.013533093127457175, 80: 0.0, 81: 0.012934808810861932, 82: 0.0, 83: 0.020683619853996353, 84: 0.014633115080454841, 85: 0.013394043721309345, 86: 0.02263586722731652, 87: 0.0, 88: 0.024674973985269345, 89: 0.014583410510247512, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.012961576719973743, 95: 0.0, 96: 0.017821488218580296, 97: 0.0, 98: 0.0, 99: 0.0}
trust[5] =  {0: 0.013260322320480928, 1: 0.022352217200921395, 2: 0.0, 3: 0.01731065813580311, 4: 0.0, 5: 0.018832356603974074, 6: 0.015882011738063553, 7: 0.014996411050627847, 8: 0.0, 9: 0.015442766260817382, 10: 0.018709054433642566, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.015950463380418577, 15: 0.017767393084248045, 16: 0.0, 17: 0.0, 18: 0.012952164608121406, 19: 0.020024086729371435, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.0128824409435467, 27: 0.015475715204365255, 28: 0.0, 29: 0.0, 30: 0.015489023391373936, 31: 0.025795481759090605, 32: 0.0, 33: 0.016253124505814037, 34: 0.0, 35: 0.0, 36: 0.018053096735054695, 37: 0.0, 38: 0.019958358081366933, 39: 0.011104150628593937, 40: 0.014531892996122097, 41: 0.014644576912621252, 42: 0.013688412246128238, 43: 0.0, 44: 0.01557293865853977, 45: 0.012592134361547465, 46: 0.0, 47: 0.0199503468177144, 48: 0.014520880648424954, 49: 0.01949511304411762, 50: 0.014558927505557245, 51: 0.01528104487038005, 52: 0.016550170858549033, 53: 0.016950078790465825, 54: 0.012426690430619057, 55: 0.0, 56: 0.015090707775444436, 57: 0.0, 58: 0.02437949559150464, 59: 0.019521726591915173, 60: 0.0, 61: 0.013979670467849861, 62: 0.0, 63: 0.016564828823652702, 64: 0.022442611031247565, 65: 0.02108032244281984, 66: 0.017905615810214947, 67: 0.015005774924827395, 68: 0.015606763251569929, 69: 0.01621448729736858, 70: 0.019818027045045934, 71: 0.022645273742702057, 72: 0.012086260992122587, 73: 0.0, 74: 0.013045441475155004, 75: 0.0, 76: 0.01552651444123006, 77: 0.0, 78: 0.012500023271185979, 79: 0.01384603201357764, 80: 0.0, 81: 0.013424967403197225, 82: 0.0, 83: 0.019852185680101542, 84: 0.015423777437235336, 85: 0.013655734908716934, 86: 0.021418798159091448, 87: 0.0, 88: 0.023659372201531064, 89: 0.014619390760941974, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.013626341125061765, 95: 0.0, 96: 0.01780535039820474, 97: 0.0, 98: 0.0, 99: 0.0}
trust[6] =  {0: 0.014096521464759893, 1: 0.021158217417704645, 2: 0.0, 3: 0.016526910385217218, 4: 0.0, 5: 0.017896669175335517, 6: 0.016021547294229874, 7: 0.015180399366798925, 8: 0.0, 9: 0.015570234097351802, 10: 0.01937813957384265, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01631813126983646, 15: 0.018266676652470008, 16: 0.0, 17: 0.0, 18: 0.013403468514161014, 19: 0.019181642841804236, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.013990409954616033, 27: 0.01609869856787758, 28: 0.0, 29: 0.0, 30: 0.015303973553006915, 31: 0.024146322502236955, 32: 0.0, 33: 0.01612701645603748, 34: 0.0, 35: 0.0, 36: 0.01818297312555025, 37: 0.0, 38: 0.019915776336132302, 39: 0.011125058364568325, 40: 0.014503281028616038, 41: 0.013977428856710347, 42: 0.014257905843335788, 43: 0.0, 44: 0.016351567621019317, 45: 0.012774385594462164, 46: 0.0, 47: 0.02077248033926987, 48: 0.01435126447707765, 49: 0.01979006342894286, 50: 0.0144815263155391, 51: 0.01596862773271876, 52: 0.016245878503064994, 53: 0.017351833715884453, 54: 0.012567701011572462, 55: 0.0, 56: 0.015335990817325593, 57: 0.0, 58: 0.023208567764646835, 59: 0.019310209519492246, 60: 0.0, 61: 0.014302163513961097, 62: 0.0, 63: 0.01647090187190088, 64: 0.02072736374136505, 65: 0.020363725009757225, 66: 0.01775162299227398, 67: 0.014893781654353042, 68: 0.01603975582524517, 69: 0.017081279594886294, 70: 0.019698770187310862, 71: 0.021029906889924243, 72: 0.012682986671723682, 73: 0.0, 74: 0.014125865090591565, 75: 0.0, 76: 0.016147174557422123, 77: 0.0, 78: 0.01283057650502713, 79: 0.014540639849333108, 80: 0.0, 81: 0.01375370430917182, 82: 0.0, 83: 0.018810276720236278, 84: 0.016460499300561763, 85: 0.014062177596845107, 86: 0.020134614410353472, 87: 0.0, 88: 0.022562693548518968, 89: 0.014734791542173973, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.014097727662071157, 95: 0.0, 96: 0.017559501471775197, 97: 0.0, 98: 0.0, 99: 0.0}
trust[7] =  {0: 0.01498194000849496, 1: 0.020067726928706578, 2: 0.0, 3: 0.016159908742679745, 4: 0.0, 5: 0.017085719852770288, 6: 0.016168741955993257, 7: 0.015342029141903636, 8: 0.0, 9: 0.016013916690597537, 10: 0.019606361205085018, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01684167393726959, 15: 0.01858483593205222, 16: 0.0, 17: 0.0, 18: 0.013648152122552777, 19: 0.018536541802344417, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.015190873629314304, 27: 0.016584355830919516, 28: 0.0, 29: 0.0, 30: 0.015257485072018923, 31: 0.02262062700533745, 32: 0.0, 33: 0.0163461257770934, 34: 0.0, 35: 0.0, 36: 0.018048715553639832, 37: 0.0, 38: 0.019405995137467314, 39: 0.011685170575662752, 40: 0.014670815973174014, 41: 0.013449683845465087, 42: 0.014576881659403058, 43: 0.0, 44: 0.01680319277308017, 45: 0.013252689162295874, 46: 0.0, 47: 0.02092035732840136, 48: 0.01431854968005056, 49: 0.0197223508689881, 50: 0.014665891950143445, 51: 0.016590273143138923, 52: 0.016032133786206743, 53: 0.017474636120084965, 54: 0.012988928374568092, 55: 0.0, 56: 0.015630848257033522, 57: 0.0, 58: 0.022226427740843723, 59: 0.018761392246996487, 60: 0.0, 61: 0.014788123594327504, 62: 0.0, 63: 0.016264044568948147, 64: 0.019433300799873633, 65: 0.019874749487167966, 66: 0.01746946368908686, 67: 0.015131484565995073, 68: 0.016317442046736075, 69: 0.017542262722946397, 70: 0.019385735791797462, 71: 0.01970422701485359, 72: 0.013244389912839848, 73: 0.0, 74: 0.01516528034182011, 75: 0.0, 76: 0.015950288943517316, 77: 0.0, 78: 0.013131601986207877, 79: 0.015019752222456101, 80: 0.0, 81: 0.014286649320005616, 82: 0.0, 83: 0.017898459903272834, 84: 0.0171940476844287, 85: 0.014596264477497503, 86: 0.0190697872046487, 87: 0.0, 88: 0.021592014009156196, 89: 0.014977816526437402, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.01429025567436436, 95: 0.0, 96: 0.017410607699836773, 97: 0.0, 98: 0.0, 99: 0.0}
trust[8] =  {0: 0.015824693990282045, 1: 0.019230688308654122, 2: 0.0, 3: 0.01595680284883443, 4: 0.0, 5: 0.016620516937697286, 6: 0.016472341516802286, 7: 0.015479011933836717, 8: 0.0, 9: 0.016197396812515853, 10: 0.019663034191382302, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.017110921103349965, 15: 0.018634052329943026, 16: 0.0, 17: 0.0, 18: 0.01394458619258542, 19: 0.017972763596891945, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.015746048808316582, 27: 0.01707424896809556, 28: 0.0, 29: 0.0, 30: 0.015345389390468303, 31: 0.02141404019474865, 32: 0.0, 33: 0.016554308517242412, 34: 0.0, 35: 0.0, 36: 0.017996792784393156, 37: 0.0, 38: 0.018780841683009503, 39: 0.012256004043918493, 40: 0.014915268502469848, 41: 0.013341060514123173, 42: 0.014947008509702299, 43: 0.0, 44: 0.017052297308096053, 45: 0.013849503543137725, 46: 0.0, 47: 0.020786697556874102, 48: 0.014268601251278795, 49: 0.019492213194006475, 50: 0.014835613960391871, 51: 0.01700167660201553, 52: 0.015763233145183523, 53: 0.017465881134019586, 54: 0.013256240176910659, 55: 0.0, 56: 0.01587853582684262, 57: 0.0, 58: 0.021150910976153098, 59: 0.01874306832276484, 60: 0.0, 61: 0.015074188716024941, 62: 0.0, 63: 0.016222221326254584, 64: 0.01832037374291514, 65: 0.019400446837276524, 66: 0.01731695147376332, 67: 0.015418703023237302, 68: 0.016212801151382433, 69: 0.017536963769946477, 70: 0.019219187888907988, 71: 0.018766578195393877, 72: 0.013595462217048245, 73: 0.0, 74: 0.01606028233844672, 75: 0.0, 76: 0.01597263110380663, 77: 0.0, 78: 0.013546573329348683, 79: 0.01533552702628433, 80: 0.0, 81: 0.014579086444768508, 82: 0.0, 83: 0.017232435124965063, 84: 0.0178044798922304, 85: 0.014785863306313155, 86: 0.018557058183323184, 87: 0.0, 88: 0.020927804614581498, 89: 0.015366994353989225, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.014297184189388827, 95: 0.0, 96: 0.017427907073464803, 97: 0.0, 98: 0.0, 99: 0.0}
trust[9] =  {0: 0.016389665565537937, 1: 0.018632398005586873, 2: 0.0, 3: 0.015820804497120432, 4: 0.0, 5: 0.016231461852855476, 6: 0.016667997674792958, 7: 0.01578338582673437, 8: 0.0, 9: 0.01607836784092854, 10: 0.01977649889383063, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.017189283654755076, 15: 0.01889862923722646, 16: 0.0, 17: 0.0, 18: 0.014200232141342296, 19: 0.017657019042154196, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.01625776517489866, 27: 0.017403811856681276, 28: 0.0, 29: 0.0, 30: 0.01541303202106028, 31: 0.020843655839955025, 32: 0.0, 33: 0.016585662642741045, 34: 0.0, 35: 0.0, 36: 0.01797292608545258, 37: 0.0, 38: 0.018490439844620756, 39: 0.012460563827885475, 40: 0.01495258074708067, 41: 0.0129778055449435, 42: 0.014965460888679104, 43: 0.0, 44: 0.01711501749226175, 45: 0.014072113894685632, 46: 0.0, 47: 0.02090402507527413, 48: 0.01410154310532535, 49: 0.019523064311200773, 50: 0.014949546304575661, 51: 0.017266717502723863, 52: 0.01555861527873903, 53: 0.017639726323891127, 54: 0.013350971113345527, 55: 0.0, 56: 0.015822148971481643, 57: 0.0, 58: 0.02061046033711468, 59: 0.01860359222743907, 60: 0.0, 61: 0.015287940492373574, 62: 0.0, 63: 0.016073603317817403, 64: 0.017715331771925212, 65: 0.01929522524580322, 66: 0.017314139477815092, 67: 0.015569299652191492, 68: 0.01643198006967438, 69: 0.017547975015656605, 70: 0.01912736490962959, 71: 0.018200869272311574, 72: 0.013705518457679991, 73: 0.0, 74: 0.016478992387708984, 75: 0.0, 76: 0.015955809521306024, 77: 0.0, 78: 0.01366623407954119, 79: 0.015546768521109061, 80: 0.0, 81: 0.014720478158810781, 82: 0.0, 83: 0.01684302954592587, 84: 0.01825386396213221, 85: 0.01467430585792555, 86: 0.01827016345536476, 87: 0.0, 88: 0.020835755752211638, 89: 0.015456206392569007, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.014405586778099985, 95: 0.0, 96: 0.017456567259494786, 97: 0.0, 98: 0.0, 99: 0.0}
trust[10] =  {0: 0.016412491951781297, 1: 0.018617261486649737, 2: 0.0, 3: 0.015801552692621144, 4: 0.0, 5: 0.016211308042952503, 6: 0.01667670560113104, 7: 0.015780995062889686, 8: 0.0, 9: 0.01606645263763413, 10: 0.019834354993649002, 11: 0.0, 12: 0.0, 13: 0.0, 14: 0.01718405392462141, 15: 0.01893688928522464, 16: 0.0, 17: 0.0, 18: 0.014183517184858746, 19: 0.017637346624571035, 20: 0.0, 21: 0.0, 22: 0.0, 23: 0.0, 24: 0.0, 25: 0.0, 26: 0.016269253163361516, 27: 0.017430381115822808, 28: 0.0, 29: 0.0, 30: 0.015394498819191244, 31: 0.02086289396021575, 32: 0.0, 33: 0.01657582260268279, 34: 0.0, 35: 0.0, 36: 0.017977503860016543, 37: 0.0, 38: 0.01847548237292075, 39: 0.012437725576424493, 40: 0.014933727833014351, 41: 0.012945867924267421, 42: 0.014951063408811183, 43: 0.0, 44: 0.01711554467136198, 45: 0.014056665102119966, 46: 0.0, 47: 0.020988760075733772, 48: 0.01408186520156939, 49: 0.019570328653420586, 50: 0.014929006282284095, 51: 0.017293459674540056, 52: 0.015538991388422857, 53: 0.017655572497709868, 54: 0.013331963648350102, 55: 0.0, 56: 0.01580202847354285, 57: 0.0, 58: 0.020616585137989953, 59: 0.018625983472246185, 60: 0.0, 61: 0.01527105802284381, 62: 0.0, 63: 0.016065983313178007, 64: 0.017694048546996913, 65: 0.019314666525172126, 66: 0.017310363443147563, 67: 0.01556340269340035, 68: 0.016427705502059412, 69: 0.01755308876726088, 70: 0.019142155462897083, 71: 0.018187436656652626, 72: 0.013686340047003642, 73: 0.0, 74: 0.01650083818904711, 75: 0.0, 76: 0.015941955407785945, 77: 0.0, 78: 0.013640427772130639, 79: 0.015557528622285132, 80: 0.0, 81: 0.014704467985485994, 82: 0.0, 83: 0.01682444669378315, 84: 0.018308429837692587, 85: 0.014655438101323517, 86: 0.018256473172187294, 87: 0.0, 88: 0.0209053637500134, 89: 0.015438871467350844, 90: 0.0, 91: 0.0, 92: 0.0, 93: 0.0, 94: 0.014387419685911926, 95: 0.0, 96: 0.017458185929785264, 97: 0.0, 98: 0.0, 99: 0.0}
