trust[0] =  {0: 0.04979743540722713, 1: 0.04962611472547453, 2: 0.049965660618021275, 3: 0.04980978951922084, 4: 0.049809352112211464, 5: 0.049809879685154455, 6: 0.04972172071556683, 7: 0.050034083847103096, 8: 0.05182181059075741, 9: 0.04978235213199597, 10: 0.049812093350995144, 11: 0.04910911646222847, 12: 0.04926615710353925, 13: 0.04991024027715651, 14: 0.05357656235852021, 15: 0.04976179104280947, 16: 0.04942863837801843, 17: 0.04957978409438725, 18: 0.049705761568004346, 19: 0.04967165601160785}
trust[1] =  {0: 0.0574132069629095, 1: 0.049208091233701366, 2: 0.048186525980472766, 3: 0.04921874078037473, 4: 0.04885651959810505, 5: 0.04859679074184867, 6: 0.05283260260386488, 7: 0.05028376633589622, 8: 0.0515025787645103, 9: 0.05006060259415087, 10: 0.04940553350013872, 11: 0.048520483317510785, 12: 0.04809283773945636, 13: 0.049559338294509564, 14: 0.053073819911353716, 15: 0.04891646597403437, 16: 0.047811016452453135, 17: 0.04940047735274267, 18: 0.048964414836258, 19: 0.050096187025708526}
trust[2] =  {0: 0.06498305466925507, 1: 0.04878620055719354, 2: 0.04640278270295369, 3: 0.04862055549517217, 4: 0.04795295146510047, 5: 0.04737600753109358, 6: 0.05588334991473344, 7: 0.050513669317525704, 8: 0.05118898928062932, 9: 0.050355812820812675, 10: 0.04900951533969603, 11: 0.047932459655797885, 12: 0.046929101559861304, 13: 0.04921040013973961, 14: 0.05257311758044251, 15: 0.04809149763595462, 16: 0.0462152270437777, 17: 0.04923660239907527, 18: 0.048243653977148596, 19: 0.05049505091403689}
trust[3] =  {0: 0.0656002215279822, 1: 0.04855143780977936, 2: 0.046201064241328096, 3: 0.048707308580261205, 4: 0.047966194955718446, 5: 0.04711663645263424, 6: 0.05669972983096553, 7: 0.05062980676267136, 8: 0.0509602962261447, 9: 0.050513077375832355, 10: 0.04932599179177643, 11: 0.0486008706710083, 12: 0.045453108369523425, 13: 0.049854949252480636, 14: 0.05242685572906133, 15: 0.04818336149168545, 16: 0.045771741615357325, 17: 0.049339105441946765, 18: 0.04746246650045798, 19: 0.050635775373384866}
trust[4] =  {0: 0.06688154613936144, 1: 0.04689226927307348, 2: 0.043634486707449155, 3: 0.049132921631821834, 4: 0.048469621232397925, 5: 0.04426067704126476, 6: 0.0571690577726408, 7: 0.05156789717240453, 8: 0.05096266912724944, 9: 0.05195914999634098, 10: 0.049643971858681725, 11: 0.04955692719837428, 12: 0.041600035667338595, 13: 0.05051995494420292, 14: 0.05274273341225573, 15: 0.04702614201398987, 16: 0.046244732122994785, 17: 0.051027893353709365, 18: 0.04781992355335553, 19: 0.05288738978109279}
trust[5] =  {0: 0.06737948362113494, 1: 0.042718636910496134, 2: 0.039284104418298306, 3: 0.050311251271294016, 4: 0.049730011930124496, 5: 0.0393594880789674, 6: 0.05722310053757694, 7: 0.05310160639851299, 8: 0.05007323518367308, 9: 0.0545702911575289, 10: 0.050142048818512655, 11: 0.05140714691644316, 12: 0.03651075748427567, 13: 0.052505400659277335, 14: 0.053597315027707454, 15: 0.04469417449425638, 16: 0.04811898519284117, 17: 0.053832630762965274, 18: 0.048842968325513506, 19: 0.056597362810600085}
trust[6] =  {0: 0.06346337381441938, 1: 0.0351879776126812, 2: 0.033460819203839254, 3: 0.05325514815711427, 4: 0.05248421802921971, 5: 0.03376313880904456, 6: 0.05483383337373348, 7: 0.05525248763777445, 8: 0.04293960376345021, 9: 0.059842420665577295, 10: 0.05188204347992716, 11: 0.0566179660662168, 12: 0.029279849033154857, 13: 0.05698463994776905, 14: 0.055340456596086524, 15: 0.04110585751620499, 16: 0.05397061080361701, 17: 0.05679282868283872, 18: 0.050639995803526336, 19: 0.06290273100380477}
trust[7] =  {0: 0.058962887398045144, 1: 0.025120488033716467, 2: 0.023650887565799163, 3: 0.058936470142413745, 4: 0.057207116723266886, 5: 0.024689895945125752, 6: 0.050215581753567815, 7: 0.059378260551063725, 8: 0.0332538368737726, 9: 0.06736261672347914, 10: 0.05468898748115638, 11: 0.06397135517126926, 12: 0.018188037674456325, 13: 0.0626825442196063, 14: 0.05873316539575588, 15: 0.0339485714902639, 16: 0.06185218986708228, 17: 0.061370304812787935, 18: 0.05376380131101081, 19: 0.07202300086636039}
trust[8] =  {0: 0.052999696079743266, 1: 0.012792666237454016, 2: 0.011976616856951767, 3: 0.06540299919757299, 4: 0.06280762525862132, 5: 0.013407479505871555, 6: 0.04389464117888856, 7: 0.06457543989996956, 8: 0.021966162661816863, 9: 0.07604402092881485, 10: 0.058272415221016796, 11: 0.07288461418718975, 12: 0.0045134253832547115, 13: 0.0700810004225963, 14: 0.06309105698314715, 15: 0.025035631920128674, 16: 0.07086915019503894, 17: 0.06764320331864485, 18: 0.05834509782854137, 19: 0.08339705673473667}
trust[9] =  {0: 0.04101069204909763, 1: 0.0, 2: 0.0, 3: 0.07330454805277367, 4: 0.06864222717956903, 5: 0.0005965200658776843, 6: 0.033637854437519446, 7: 0.07012837926456635, 8: 0.0060542658715284706, 9: 0.08599846570032546, 10: 0.06314575433248108, 11: 0.08308377213238992, 12: 0.0, 13: 0.07801823716918169, 14: 0.06812524725343096, 15: 0.013746351830995748, 16: 0.08237503507232374, 17: 0.07340036123767879, 18: 0.06252498353666346, 19: 0.09620730481359693}
trust[10] =  {0: 0.023961786297545716, 1: 0.0, 2: 0.0, 3: 0.07798519349622828, 4: 0.07225429565680143, 5: 0.0, 6: 0.01897151822817206, 7: 0.0721598465041406, 8: 0.0, 9: 0.09211626202468773, 10: 0.06455305915503284, 11: 0.09038188130704822, 12: 0.0, 13: 0.08268248908833928, 14: 0.06948168307849369, 15: 0.0, 16: 0.08982653115299861, 17: 0.07678991434827535, 18: 0.06559716401580797, 19: 0.10323837564642824}
trust[11] =  {0: 0.005682068003007371, 1: 0.0, 2: 0.0, 3: 0.08136172687516448, 4: 0.07548183060343833, 5: 0.0, 6: 0.0020856472876595793, 7: 0.07320353683099672, 8: 0.0, 9: 0.09592635428255392, 10: 0.06597704471952502, 11: 0.09571624206993311, 12: 0.0, 13: 0.08573519924262357, 14: 0.07040322791295736, 15: 0.0, 16: 0.09516707997813155, 17: 0.07813706245469106, 18: 0.06700884388936205, 19: 0.10811413584995579}
trust[12] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0828245782259565, 4: 0.0758733294122378, 5: 0.0, 6: 0.0, 7: 0.07166222043781585, 8: 0.0, 9: 0.09629078045645079, 10: 0.06497498655099201, 11: 0.09950389382105576, 12: 0.0, 13: 0.08620121225809398, 14: 0.06867041159123437, 15: 0.0, 16: 0.09892098396175883, 17: 0.07800711188134676, 18: 0.06676571581545489, 19: 0.11030477558760236}
trust[13] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08362242950803818, 4: 0.07624269065164506, 5: 0.0, 6: 0.0, 7: 0.0700059389986425, 8: 0.0, 9: 0.09682345657738987, 10: 0.06325471294316738, 11: 0.10173965238282744, 12: 0.0, 13: 0.08653140409932623, 14: 0.06731055986523, 15: 0.0, 16: 0.10036240831106227, 17: 0.07659354900157192, 18: 0.06598815711217129, 19: 0.11152504054892785}
trust[14] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08444066984270014, 4: 0.07644131564615404, 5: 0.0, 6: 0.0, 7: 0.06801557410751238, 8: 0.0, 9: 0.09719399729725736, 10: 0.06135894971566774, 11: 0.10349000759500525, 12: 0.0, 13: 0.08711142493238025, 14: 0.06534176105275431, 15: 0.0, 16: 0.10228091586097271, 17: 0.07655970193114159, 18: 0.06572979726810986, 19: 0.11203588475034441}
trust[15] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08518192973642268, 4: 0.07624134049025069, 5: 0.0, 6: 0.0, 7: 0.06628080886525096, 8: 0.0, 9: 0.09804459445009268, 10: 0.05932957527194065, 11: 0.10581088986493616, 12: 0.0, 13: 0.08768289389389902, 14: 0.06368328244354465, 15: 0.0, 16: 0.10429014446145499, 17: 0.07516677863540164, 18: 0.06411559069604587, 19: 0.11417217119076015}
trust[16] =  {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.08568585270459084, 4: 0.07597978912230037, 5: 0.0, 6: 0.0, 7: 0.06521109942490473, 8: 0.0, 9: 0.09803641324393511, 10: 0.05835667451888525, 11: 0.10731654952433846, 12: 0.0, 13: 0.0878301363036637, 14: 0.06261162617965708, 15: 0.0, 16: 0.10547994595325906, 17: 0.07464026589311831, 18: 0.06339072263971549, 19: 0.11546092449163163}
